"File","RelativePath","FullPath","WillChange","Backup","Status"
"500-pound-poultry-alien.html","Sketches\aliens\500-pound-poultry-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\500-pound-poultry-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\500-pound-poultry-alien.html.bak-centering-20260507-142124","Updated"
"absubtract-analsupress.html","Sketches\aliens\absubtract-analsupress.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\absubtract-analsupress.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\absubtract-analsupress.html.bak-centering-20260507-142124","Updated"
"adam-alien.html","Sketches\aliens\adam-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\adam-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\adam-alien.html.bak-centering-20260507-142124","Updated"
"adrian-alien.html","Sketches\aliens\adrian-alien.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\adrian-alien.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\adrian-alien.html.bak-centering-20260507-142124","Updated"
"aerospam-demotron.html","Sketches\aliens\aerospam-demotron.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\aerospam-demotron.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\aerospam-demotron.html.bak-centering-20260507-142124","Updated"
"alexandrinus-reflection.html","Sketches\aliens\alexandrinus-reflection.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\alexandrinus-reflection.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\alexandrinus-reflection.html.bak-centering-20260507-142124","Updated"
"aliegenie.html","Sketches\aliens\aliegenie.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\aliegenie.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\aliegenie.html.bak-centering-20260507-142124","Updated"
"alien-bot.html","Sketches\aliens\alien-bot.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\alien-bot.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\alien-bot.html.bak-centering-20260507-142124","Updated"
"alien-cherub.html","Sketches\aliens\alien-cherub.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\alien-cherub.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\alien-cherub.html.bak-centering-20260507-142124","Updated"
"alien-offspring.html","Sketches\aliens\alien-offspring.html","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\alien-offspring.html","True","D:\github\ron-english-sketches-and-drawings\Sketches\aliens\alien-offspring.html.bak-centering-20260507-142124","Updated"
