"Character","Page","Section","File","FullPath"
"Lady Bigfoot","lady-bigfoot.html","Original Drawing","Lady Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Lady Bigfoot ORIGINAL.jpg"
"Lady Bigfoot","lady-bigfoot.html","Digitized Versions","Lady Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Lady Bigfoot B&W.jpg"
"Lady Bigfoot","lady-bigfoot.html","Digitized Versions","Lady Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Lady Bigfoot COLOR.jpg"
"Little Bigfoot","little-bigfoot.html","Original Drawing","Little Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Little Bigfoot ORIGINAL.jpg"
"Little Bigfoot","little-bigfoot.html","Digitized Versions","Little Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Little Bigfoot B&W.jpg"
"Little Bigfoot","little-bigfoot.html","Digitized Versions","Little Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Little Bigfoot COLOR.jpg"
"Urban Bigfoot","urban-bigfoot.html","Original Drawing","Urban Bigfoot 1 front ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 front ORIGINAL.jpg"
"Urban Bigfoot","urban-bigfoot.html","Original Drawing","Urban Bigfoot 1 back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 back ORIGINAL.jpg"
"Urban Bigfoot","urban-bigfoot.html","Original Drawing","Urban Bigfoot 1 left side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 left side ORIGINAL.jpg"
"Urban Bigfoot","urban-bigfoot.html","Original Drawing","Urban Bigfoot 1 right side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 right side ORIGINAL.jpg"
"Urban Bigfoot","urban-bigfoot.html","Digitized Versions","Urban Bigfoot 1 front B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 front B&W.jpg"
