"Status","Character","Page","Section","File","FullPath"
"Grouped","Lady Bigfoot","lady-bigfoot.html","Digital","Lady Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Lady Bigfoot B&W.jpg"
"Grouped","Lady Bigfoot","lady-bigfoot.html","Digital","Lady Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Lady Bigfoot COLOR.jpg"
"Grouped","Lady Bigfoot","lady-bigfoot.html","Original","Lady Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Lady Bigfoot ORIGINAL.jpg"
"Grouped","Bigfoot Footprint","bigfoot-footprint.html","Original","Bigfoot Footprint ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Footprint ORIGINAL.jpg"
"Grouped","Little Bigfoot","little-bigfoot.html","Digital","Little Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Little Bigfoot B&W.jpg"
"Grouped","Little Bigfoot","little-bigfoot.html","Digital","Little Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Little Bigfoot COLOR.jpg"
"Grouped","Little Bigfoot","little-bigfoot.html","Original","Little Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Little Bigfoot ORIGINAL.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Card","series 1 #52 front - BIGFOOTS - urban bigfoot - ultrarare.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 1 #52 front - BIGFOOTS - urban bigfoot - ultrarare.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Card","series 1 #52 back - BIGFOOTS - Urban Bigfoot - ultrarare.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 1 #52 back - BIGFOOTS - Urban Bigfoot - ultrarare.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Digital","Urban Bigfoot 1 front B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 front B&W.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Digital","Urban Bigfoot 1 front COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 front COLOR.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Digital","Urban Bigfoot 1 back B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 back B&W.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Digital","Urban Bigfoot 1 back COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 back COLOR.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Digital","Urban Bigfoot 1 left side B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 left side B&W.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Digital","Urban Bigfoot 1 left side COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 left side COLOR.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Digital","Urban Bigfoot right side 1 B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot right side 1 B&W.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Digital","Urban Bigfoot 1 right side COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 right side COLOR.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Original","Urban Bigfoot 1 front ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 front ORIGINAL.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Original","Urban Bigfoot 1 back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 back ORIGINAL.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Original","Urban Bigfoot 1 left side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 left side ORIGINAL.jpg"
"Grouped","Urban Bigfoot","urban-bigfoot.html","Original","Urban Bigfoot 1 right side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Urban Bigfoot 1 right side ORIGINAL.jpg"
"Grouped","Bigfoot Living Room","bigfoot-living-room.html","Digital","Bigfoot Living Room 1A B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Living Room 1A B&W.jpg"
"Grouped","Bigfoot Living Room","bigfoot-living-room.html","Digital","Bigfoot Living Room 1B B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Living Room 1B B&W.jpg"
