"Action","TargetPage","TargetTitle","Section","File"
"Merge image into target page","battle-cat-grin.html","Battle Cat Grin","Digitized Versions","Battle Cat Grin B&W.jpg"
"Merge image into target page","battle-cat-grin.html","Battle Cat Grin","Digitized Versions","Battle Cat Grin COLOR.jpg"
"Merge image into target page","battle-cat-grin.html","Battle Cat Grin","Digitized Versions","Battle Cat Grin Crouching B&W.jpg"
"Merge image into target page","battle-cat-grin.html","Battle Cat Grin","Digitized Versions","Battle Cat Grin Crouching COLOR.jpg"
"Merge image into target page","battle-cat-grin.html","Battle Cat Grin","Original Drawing","Battle Cat Grin Crouching ORIGINAL.jpg"
"Merge image into target page","battle-cat-grin.html","Battle Cat Grin","Original Drawing","Battle Cat Grin ORIGINAL.jpg"
"Merge image into target page","barney-grin.html","Barney Grin","Digitized Versions","Barney Grin Flying B&W.jpg"
"Merge image into target page","barney-grin.html","Barney Grin","Digitized Versions","Barney Grin Flying COLOR.jpg"
"Merge image into target page","barney-grin.html","Barney Grin","Original Drawing","Barney Grin Flying ORIGINAL.jpg"
"Merge image into target page","barney-grin.html","Barney Grin","Digitized Versions","Barney Grin Guernical B&W.jpg"
"Merge image into target page","barney-grin.html","Barney Grin","Digitized Versions","Barney Grin Guernical COLOR.jpg"
"Merge image into target page","barney-grin.html","Barney Grin","Original Drawing","Barney Grin Guernical ORIGINAL.jpg"
"Merge image into target page","bartman-grin.html","Bartman Grin","Digitized Versions","Bartman Grin flying B&W.jpg"
"Merge image into target page","bartman-grin.html","Bartman Grin","Digitized Versions","Bartman Grin flying COLOR.jpg"
"Merge image into target page","bartman-grin.html","Bartman Grin","Original Drawing","Bartman Grin flying ORIGINAL COLOR.jpg"
"Merge image into target page","bartman-grin.html","Bartman Grin","Original Drawing","Bartman Grin flying ORIGINAL.jpg"
"Merge image into target page","bart-grin.html","Bart Grin","Original Drawing","Bart Grin chubby back ORIGINAL.jpg"
"Merge image into target page","bart-grin.html","Bart Grin","Digitized Versions","Bart Grin Chubby front B&W.jpg"
"Merge image into target page","bart-grin.html","Bart Grin","Digitized Versions","Bart Grin Chubby front COLOR.jpg"
"Merge image into target page","bart-grin.html","Bart Grin","Original Drawing","Bart Grin Chubby front ORIGINAL.jpg"
"Merge image into target page","bart-grin.html","Bart Grin","Digitized Versions","Bart Grin Chubby side B&W.jpg"
"Merge image into target page","bart-grin.html","Bart Grin","Original Drawing","Bart Grin chubby side ORIGINAL.jpg"
"Merge image into target page","bart-grin.html","Bart Grin","Digitized Versions","Bart Grin chubby side raw file copy.jpg"
"Merge image into target page","bart-grin.html","Bart Grin","Digitized Versions","Bart Grin short front COLOR.jpg"
"Merge image into target page","bart-grin.html","Bart Grin","Digitized Versions","Bart Grin short front COLOR.png"
"Removed merged source page from index","battle-cat-grin-crouching.html","","",""
"Removed merged source page from index","barney-grin-flying.html","","",""
"Removed merged source page from index","bartman-grin-flying.html","","",""
"Removed merged source page from index","bart-grin-chubby.html","","",""
"Removed merged source page from index","bart-grin-short.html","","",""
"Updated index thumbnail","basketball-bulldog-grin.html","Basketball Bulldog Grin","Index","Basketball Bulldog Grin COLOR.jpg"
"Updated index thumbnail","astrogrin.html","Astrogrin","Index","Astrogrin COLOR.jpg"
"Updated index thumbnail","babalouie-grin.html","Babalouie Grin","Index","Babalouie Grin COLOR.jpg"
"Updated index thumbnail","baby-grin.html","Baby Grin","Index","Baby Grin COLOR.jpg"
"Updated index thumbnail","baby-grin-2.html","Baby Grin 2","Index","Baby Grin 2 COLOR.jpg"
"Updated index thumbnail","barney-grin.html","Barney Grin","Index","Barney Grin front 1 COLOR.jpg"
"Updated index thumbnail","bart-grin.html","Bart Grin","Index","Bart Grin Chubby front COLOR.jpg"
"Updated index thumbnail","basketball-grin.html","Basketball Grin","Index","Basketball Grin COLOR.jpg"
"Updated index thumbnail","bat-grin.html","Bat Grin","Index","Bat Grin front COLOR.jpg"
"Updated index thumbnail","bat-grin-version-2.html","Bat Grin Version 2","Index","Bat Grin version 2 front COLOR.jpg"
"Updated index thumbnail","batman-grin.html","Batman Grin","Index","Batman Grin COLOR.jpg"
"Updated index thumbnail","batman-grin-icon.html","Batman Grin Icon","Index","Batman Grin Icon COLOR.jpg"
"Updated index thumbnail","battle-cat-grin.html","Battle Cat Grin","Index","Battle Cat Grin Crouching COLOR.jpg"
