"Action","Page","Detail"
"Merged image into target page","telegrinnie.html","Teletubby Grin Flying B&W.jpg"
"Merged image into target page","telegrinnie.html","Teletubby Grin Flying COLOR.jpg"
"Merged image into target page","telegrinnie.html","Teletubby Grin Flying ORIGINAL.jpg"
"Removed source card from index","teletubby-grin-flying.html","Merged into telegrinnie.html"
"Archived merged source page","teletubby-grin-flying.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-25-20260508-102848"
"Updated index thumbnail","telegrinnie.html","Teletubby Grin Flying COLOR.jpg"
"Merged image into target page","teddy-bear-grin.html","Teddy Bear Grin Standing B&W.jpg"
"Merged image into target page","teddy-bear-grin.html","Teddy Bear Grin Standing card.png"
"Merged image into target page","teddy-bear-grin.html","Teddy Bear Grin Standing COLOR.jpg"
"Merged image into target page","teddy-bear-grin.html","Teddy Bear Grin Standing ORIGINAL COLOR 2.png"
"Merged image into target page","teddy-bear-grin.html","Teddy Bear Grin Standing ORIGINAL COLOR.jpg"
"Removed source card from index","teddy-bear-grin-standing.html","Merged into teddy-bear-grin.html"
"Archived merged source page","teddy-bear-grin-standing.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-25-20260508-102848"
"Updated index thumbnail","teddy-bear-grin.html","Teddy Bear Grin Standing COLOR.jpg"
"Merged image into target page","taz-grin.html","Taz Grin Flower Face ORIGINAL.jpg"
"Merged image into target page","taz-grin.html","Taz Grin Flower Face.jpg"
"Removed source card from index","taz-grin-flower.html","Merged into taz-grin.html"
"Archived merged source page","taz-grin-flower.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-25-20260508-102848"
"Updated index thumbnail","taz-grin.html","Taz Grin Flower Face.jpg"
"Merged image into target page","tiger-sphinx-grin.html","Tiger Sphinx B&W.jpg"
"Merged image into target page","tiger-sphinx-grin.html","Tiger Sphinx Grin ORIGINAL COLOR.jpg"
"Merged image into target page","tiger-sphinx-grin.html","Tiger Sphinx Grin ORIGINAL.jpg"
"Merged image into target page","tiger-sphinx-grin.html","Tiger Sphinx Side B&W.jpg"
"Merged image into target page","tiger-sphinx-grin.html","Tiger Sphinx side COLOR.jpg"
"Merged image into target page","tiger-sphinx-grin.html","Tiger Sphinx Side ORIGINAL.jpg"
"Removed source card from index","tiger-sphinx.html","Merged into tiger-sphinx-grin.html"
"Archived merged source page","tiger-sphinx.html","D:\github\ron-english-sketches-and-drawings\Sketches\grins\_archived-merged-pages\cleanup-pass-25-20260508-102848"
"Updated index thumbnail","tiger-sphinx-grin.html","Tiger Sphinx Grin ORIGINAL COLOR.jpg"
"Updated index thumbnail","techno-kitten-grin.html","Techno Kitten Grin COLOR.jpg"
"Updated index thumbnail","tiger-grin-2.html","Tiger Grin 2 ORIGINAL colorway 2.jpg"
"Updated index thumbnail","timid-shark-grin.html","Timid Shark Grin COLOR.jpg"
