"Position","Title","Href","ImageFile","Key","HrefExists","ImageExists","Score"
"1","Alien Baby Grin","alien-baby-grin.html","Alien Baby Grin colorway 1.jpg","alienbabygrin","True","True","1319.9999"
"2","Alien Grin","alien-grin.html","Alien Grin COLOR.png","aliengrin","True","True","1319.9998"
"3","Angel Grin","angel-grin.html","Angel Grin B&W.jpg","angelgrin","True","True","1249.9997"
"4","Angel Wings Grin","angel-wings-grin.html","Angel Wings Grin 1.png","angelwingsgrin","True","True","1249.9996"
"5","Artist Grin","artist-grin.html","Artist Grin COLOR.jpg","artistgrin","True","True","1319.9995"
"6","Astro Boy Grin","astro-boy-grin.html","Astro Boy Grin COLOR.jpg","astroboygrin","True","True","1319.9994"
"7","Astrogrin","astrogrin.html","Astrogrin COLOR.jpg","astrogrin","True","True","1319.9993"
"8","B-Rex Grin","b-rex-grin.html","B-Rex Grin side COLOR 1.jpg","brexgrin","True","True","1319.9992"
"9","Babalouie Grin","babalouie-grin.html","Babalouie Grin COLOR.jpg","babalouiegrin","True","True","1319.9991"
"10","Baby Grin","baby-grin.html","Baby Grin COLOR.jpg","babygrin","True","True","1319.999"
"11","Baby Grin 2","baby-grin-2.html","Baby Grin 2 COLOR.jpg","babygrin2","True","True","1319.9989"
"12","Badly Drawn Batman Grin","badly-drawn-batman-grin.html","Badly Drawn Batman Grin ORIGINAL COLOR.jpg","badlydrawnbatmangrin","True","True","1289.9988"
"13","Barney Grin","barney-grin.html","Barney Grin front 1 COLOR.jpg","barneygrin","True","True","1419.9987"
"14","Bart Grin","bart-grin.html","Bart Grin Chubby front COLOR.jpg","bartgrin","True","True","1419.9986"
"15","Bartman Grin","bartman-grin.html","Bartman Grin flying COLOR.jpg","bartmangrin","True","True","1419.9985"
"16","Baseball Grin","baseball-grin.html","Baseball Grin COLOR.jpg","baseballgrin","True","True","1319.9984"
"17","Basketball Bulldog Grin","basketball-bulldog-grin.html","Basketball Bulldog Grin COLOR.jpg","basketballbulldoggrin","True","True","1319.9983"
"18","Basketball Grin","basketball-grin.html","Basketball Grin COLOR.jpg","basketballgrin","True","True","1319.9982"
"19","Bat Grin","bat-grin.html","Bat Grin front COLOR.jpg","batgrin","True","True","1319.9981"
"20","Bat Grin Version 2","bat-grin-version-2.html","Bat Grin version 2 front COLOR.jpg","batgrinversion2","True","True","1319.998"
"21","Batman Grin","batman-grin.html","Batman Grin COLOR.jpg","batmangrin","True","True","1319.9979"
"22","Batman Grin and Robin 2","batman-grin-and-robin-2.html","Batman Grin and Robin 2 ORIGINAL.jpg","batmangrinandrobin2","True","True","1219.9978"
"23","Batman Grin Icon","batman-grin-icon.html","Batman Grin Icon COLOR.jpg","batmangrinicon","True","True","1319.9977"
"24","Batman Grin Torso","batman-grin-torso.html","Batman Grin three quarters COLOR 1.png","batmangrintorso","True","True","1319.9976"
"25","Battle Cat Grin","battle-cat-grin.html","Battle Cat Grin Crouching COLOR.jpg","battlecatgrin","True","True","1419.9975"
"26","Battle Skull Grin","battle-skull-grin.html","Battle Skull Grin COLOR 1.jpg","battleskullgrin","True","True","1319.9974"
"27","Bear Grin Forked Tongue","bear-grin-forked-tongue.html","Bear Grin Forked Tongue COLOR 2.jpg","beargrinforkedtongue","True","True","1319.9973"
"28","Bearbrick Skull","bearbrick-skull.html","Bearbrick Skull COLOR.jpg","bearbrickskull","True","True","1319.9972"
"29","Beast Man Grin","beast-man-grin.html","Beast Man Grin COLOR.jpg","beastmangrin","True","True","1319.9971"
"30","Bert Grin","bert-grin.html","Bert Grin COLOR.jpg","bertgrin","True","True","1319.997"
"31","Big Boy Grin","big-boy-grin.html","Big Boy Grin COLOR.jpg","bigboygrin","True","True","1319.9969"
"32","Biggie Grin","biggie-grin.html","Biggie Grin ORIGINAL COLOR.png","biggiegrin","True","True","1289.9968"
"33","Blanka Grin","blanka-grin.html","Blanka Grin ORIGINAL.jpg","blankagrin","True","True","1219.9967"
"34","Blotchy Grin","blotchy-grin.html","Blotchy Grin B&W.jpg","blotchygrin","True","True","1249.9966"
"35","Blue's Clues Grin","blue-from-blue-s-clues-grin.html","Blue From Blue’s Clues Grin COLOR.jpg","bluescluesgrin","True","True","1319.9965"
"36","Boba Fett Grin","boba-fett-grin.html","Boba Fett Grin front COLOR.jpg","bobafettgrin","True","True","1319.9964"
"37","Boo Boo Bear Grin","boo-boo-bear-grin.html","Boo Boo Bear Grin COLOR.jpg","booboobeargrin","True","True","1319.9963"
"38","Bored Ape Cowboy Grin","bored-ape-cowboy-grin.html","Bored Ape Cowboy Grin COLOR.jpg","boredapecowboygrin","True","True","1319.9962"
"39","Bored Ape Grin","bored-ape-grin.html","Bored Ape Cowboy Grin COLOR 2.jpg","boredapegrin","True","True","1319.9961"
"40","Bugs Grin","bugs-grin.html","Bugs Grin COLOR.jpg","bugsgrin","True","True","1319.996"
"41","Bulldog Grin","bulldog-grin.html","Bulldog Grin COLOR.jpg","bulldoggrin","True","True","1319.9959"
"42","Businessman Grin","businessman-grin.html","Businessman Grin COLOR.jpg","businessmangrin","True","True","1319.9958"
"43","Butterfly Wings Grin","butterfly-wings-grin.html","Butterfly Wings Grin 2.png","butterflywingsgrin","True","True","1249.9957"
"44","C3PO Grin","c3po-grin.html","C3PO Grin COLOR.jpg","c3pogrin","True","True","1319.9956"
"45","Cafeteria Lady Grin","cafeteria-lady-grin.html","Cafeteria Lady Grin COLOR.jpg","cafeterialadygrin","True","True","1319.9955"
"46","Cap'n Cornstarch Grin","cap-n-cornstarch-grin.html","Cap’n Cornstarch Grin COLOR.jpg","capncornstarchgrin","True","True","1319.9954"
"47","Carmelo Grin","carmelo-grin.html","Carmelo Grin COLOR.jpg","carmelogrin","True","True","1319.9953"
"48","Carousel Grinnie","carousel-grinnie.html","Carousel Grinnie front COLOR.jpg","carouselgrinnie","True","True","1319.9952"
"49","Cartman Grin","cartman-grin.html","Cartman Grin ORIGINAL COLOR 2.jpg","cartmangrin","True","True","1289.9951"
"50","Cat Grin","cat-grin.html","Cat Grin 2 COLOR.jpg","catgrin","True","True","1419.995"
"51","Cat in Hat Grin","cat-in-hat-grin.html","Cat in Hat Grin COLOR.jpg","catinhatgrin","True","True","1319.9949"
"52","Catbrain Grin","catbrain-grin.html","Catbrain Grin ORIGINAL.jpg","catbraingrin","True","True","1219.9948"
"53","Charlie Brown Grin","charlie-brown-grin.html","Charlie Grin Flying COLOR.jpg","charliebrowngrin","True","True","1419.9947"
"54","Charlie Grin X Ray","charlie-grin-x-ray.html","Charlie Grin X Ray COLOR.jpg","charliegrinxray","True","True","1319.9946"
"55","Cheshire Cat Grin","cheshire-cat-grin.html","Cheshire Cat Grin COLOR.jpg","cheshirecatgrin","True","True","1319.9945"
"56","Chico Roco","chico-roco-grin.html","Chico Roco front Variation B&W.jpg","chicoroco","True","True","1349.9944"
"57","Chuckie Grin","chuckie-grin.html","Chuckie Grin ORIGINAL COLOR.jpg","chuckiegrin","True","True","1289.9943"
"58","Count Calorie","count-calorie-grin.html","Count Calorie Grin COLOR.jpg","countcalorie","True","True","1319.9942"
"59","Courage Grin","courage-dog-grin.html","Courage Dog Grin COLOR.jpg","couragegrin","True","True","1319.9941"
"60","COVID Grin","covid-grin.html","COVID Grin COLOR.jpg","covidgrin","True","True","1319.994"
"61","Cow Grin","cow-grin.html","Cow Grin COLOR.jpg","cowgrin","True","True","1319.9939"
"62","Creepy Creature","creepy-creature.html","Creepy Creature COLOR.jpg","creepycreature","True","True","1319.9938"
