"OriginalPosition","Title","Href","ImageFile","Key","HrefExists","ImageExists","Score","RemoveReason","KeptInstead"
"6","Artist Grin","artist-grin.html","Artist Grin COLOR.jpg","artistgrin","True","True","1319.9994","Duplicate href; kept card #5 (Artist Grin)","Artist Grin"
"9","Astrogrin","astrogrin.html","Astrogrin COLOR.jpg","astrogrin","True","True","1319.9991","Duplicate href; kept card #8 (Astrogrin)","Astrogrin"
"12","Babalouie Grin","babalouie-grin.html","Babalouie Grin COLOR.jpg","babalouiegrin","True","True","1319.9988","Duplicate href; kept card #11 (Babalouie Grin)","Babalouie Grin"
"14","Baby Grin","baby-grin.html","Baby Grin COLOR.jpg","babygrin","True","True","1319.9986","Duplicate href; kept card #13 (Baby Grin)","Baby Grin"
"16","Baby Grin 2","baby-grin-2.html","Baby Grin 2 COLOR.jpg","babygrin2","True","True","1319.9984","Duplicate href; kept card #15 (Baby Grin 2)","Baby Grin 2"
"19","Barney Grin","barney-grin.html","Barney Grin front 1 COLOR.jpg","barneygrin","True","True","1419.9981","Duplicate href; kept card #18 (Barney Grin)","Barney Grin"
"21","Bart Grin","bart-grin.html","Bart Grin Chubby front COLOR.jpg","bartgrin","True","True","1419.9979","Duplicate href; kept card #20 (Bart Grin)","Bart Grin"
"23","Bartman Grin","bartman-grin.html","Bartman Grin flying COLOR.jpg","bartmangrin","True","True","1419.9977","Duplicate href; kept card #22 (Bartman Grin)","Bartman Grin"
"25","Baseball Grin","baseball-grin.html","Baseball Grin COLOR.jpg","baseballgrin","True","True","1319.9975","Duplicate href; kept card #24 (Baseball Grin)","Baseball Grin"
"27","Basketball Bulldog Grin","basketball-bulldog-grin.html","Basketball Bulldog Grin COLOR.jpg","basketballbulldoggrin","True","True","1319.9973","Duplicate href; kept card #26 (Basketball Bulldog Grin)","Basketball Bulldog Grin"
"29","Basketball Grin","basketball-grin.html","Basketball Grin COLOR.jpg","basketballgrin","True","True","1319.9971","Duplicate href; kept card #28 (Basketball Grin)","Basketball Grin"
"31","Bat Grin","bat-grin.html","Bat Grin front COLOR.jpg","batgrin","True","True","1319.9969","Duplicate href; kept card #30 (Bat Grin)","Bat Grin"
"33","Bat Grin version 2","bat-grin-version-2.html","Bat Grin version 2 front COLOR.jpg","batgrinversion2","True","True","1319.9967","Duplicate href; kept card #32 (Bat Grin Version 2)","Bat Grin Version 2"
"35","Batman Grin","batman-grin.html","Batman Grin COLOR.jpg","batmangrin","True","True","1319.9965","Duplicate href; kept card #34 (Batman Grin)","Batman Grin"
"38","Batman Grin Icon","batman-grin-icon.html","Batman Grin Icon COLOR.jpg","batmangrinicon","True","True","1319.9962","Duplicate href; kept card #37 (Batman Grin Icon)","Batman Grin Icon"
"41","Battle Cat Grin","battle-cat-grin.html","Battle Cat Grin Crouching COLOR.jpg","battlecatgrin","True","True","1419.9959","Duplicate href; kept card #40 (Battle Cat Grin)","Battle Cat Grin"
"43","Battle Skull Grin","battle-skull-grin.html","Battle Skull Grin COLOR 1.jpg","battleskullgrin","True","True","1319.9957","Duplicate href; kept card #42 (Battle Skull Grin)","Battle Skull Grin"
"45","Bear Grin Forked Tongue","bear-grin-forked-tongue.html","Bear Grin Forked Tongue COLOR 2.jpg","beargrinforkedtongue","True","True","1319.9955","Duplicate href; kept card #44 (Bear Grin Forked Tongue)","Bear Grin Forked Tongue"
"47","Bearbrick Skull","bearbrick-skull.html","Bearbrick Skull COLOR.jpg","bearbrickskull","True","True","1319.9953","Duplicate href; kept card #46 (Bearbrick Skull)","Bearbrick Skull"
"49","Beast Man Grin","beast-man-grin.html","Beast Man Grin COLOR.jpg","beastmangrin","True","True","1319.9951","Duplicate href; kept card #48 (Beast Man Grin)","Beast Man Grin"
"51","Bert Grin","bert-grin.html","Bert Grin COLOR.jpg","bertgrin","True","True","1319.9949","Duplicate href; kept card #50 (Bert Grin)","Bert Grin"
"53","Big Boy Grin","big-boy-grin.html","Big Boy Grin COLOR.jpg","bigboygrin","True","True","1319.9947","Duplicate href; kept card #52 (Big Boy Grin)","Big Boy Grin"
"57","Blue From Blue’s Clues Grin","blue-from-blue-s-clues-grin.html","Blue From Blue’s Clues Grin ORIGINAL.jpg","bluescluesgrin","True","True","1219.9943","Duplicate href; kept card #58 (Blue's Clues Grin)","Blue's Clues Grin"
