"Batch","Character","Page","Section","File","FullPath"
"A","Alien Baby Grin","alien-baby-grin.html","Digitized Versions","Alien Baby Grin colorway 1.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Baby Grin colorway 1.jpg"
"A","Alien Baby Grin","alien-baby-grin.html","Digitized Versions","Alien Baby Grin colorway 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Baby Grin colorway 2.jpg"
"A","Alien Baby Grin","alien-baby-grin.html","Digitized Versions","Alien Baby Grin colorway 3.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Baby Grin colorway 3.jpg"
"A","Alien Grin","alien-grin.html","Digitized Versions","Alien Grin COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin COLOR.png"
"A","Alien Grin","alien-grin.html","Digitized Versions","Alien Grin side view.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view.png"
"A","Alien Grin","alien-grin.html","Digitized Versions","Alien Grin side view (2).png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (2).png"
"A","Alien Grin","alien-grin.html","Digitized Versions","Alien Grin side view (3).png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (3).png"
"A","Alien Grin","alien-grin.html","Digitized Versions","Alien Grin side view (4).png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (4).png"
"A","Alien Grin","alien-grin.html","Digitized Versions","Alien Grin side view (5).png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (5).png"
"A","Alien Grin","alien-grin.html","Digitized Versions","Alien Grin side view (6) copy.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (6) copy.png"
"A","Alien Grin","alien-grin.html","Digitized Versions","Alien Grin side view (7).png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (7).png"
"A","Angel Grin","angel-grin.html","Digitized Versions","Angel Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Grin B&W.jpg"
"A","Angel Grin","angel-grin.html","Collector Cards","Angel Grin card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Grin card.jpg"
"A","Angel Grin","angel-grin.html","Collector Cards","Angel Grin card.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Grin card.png"
"A","Angel Wings Grin","angel-wings-grin.html","Digitized Versions","Angel Wings Grin 1.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Wings Grin 1.png"
"A","Angel Wings Grin","angel-wings-grin.html","Digitized Versions","Angel Wings Grin 2.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Wings Grin 2.png"
"A","Angel Wings Grin","angel-wings-grin.html","Digitized Versions","Angel Wings Grin 3.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Wings Grin 3.png"
"A","Artist Grin","artist-grin.html","Digitized Versions","Artist Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Artist Grin B&W.jpg"
"A","Artist Grin","artist-grin.html","Digitized Versions","Artist Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Artist Grin COLOR.jpg"
"A","Artist Grin","artist-grin.html","Collector Cards","Artist Grin card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Artist Grin card.jpg"
"A","Artist Grin","artist-grin.html","Collector Cards","Artist Grin card.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Artist Grin card.png"
"A","Astro Boy Grin","astro-boy-grin.html","Digitized Versions","Astro Boy Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Astro Boy Grin COLOR.jpg"
"A","Astro Boy Grin","astro-boy-grin.html","Collector Cards","Astro Boy Grin card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Astro Boy Grin card.jpg"
"A","Astrogrin","astrogrin.html","Original Drawing","Astrogrin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Astrogrin ORIGINAL.jpg"
"A","Astrogrin","astrogrin.html","Digitized Versions","Astrogrin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Astrogrin B&W.jpg"
"A","Astrogrin","astrogrin.html","Digitized Versions","Astrogrin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Astrogrin COLOR.jpg"
