"Batch","Character","Page","Section","File","FullPath"
"B","Babalouie Grin","babalouie-grin.html","Original Drawing","Babalouie Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Babalouie Grin ORIGINAL.jpg"
"B","Babalouie Grin","babalouie-grin.html","Digitized Versions","Babalouie Grin B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Babalouie Grin B&W.jpg"
"B","Babalouie Grin","babalouie-grin.html","Digitized Versions","Babalouie Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Babalouie Grin COLOR.jpg"
"B","Baby Grin","baby-grin.html","Original Drawing","Baby Grin ORIGINAL 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin ORIGINAL 2.jpg"
"B","Baby Grin","baby-grin.html","Original Drawing","Baby Grin ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin ORIGINAL.jpg"
"B","Baby Grin","baby-grin.html","Digitized Versions","Baby Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin COLOR.jpg"
"B","Baby Grin","baby-grin.html","Collector Cards","Baby Grin ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin ORIGINAL COLOR.jpg"
"B","Baby Grin 2","baby-grin-2.html","Original Drawing","Baby Grin 2 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin 2 ORIGINAL.jpg"
"B","Baby Grin 2","baby-grin-2.html","Digitized Versions","Baby Grin 2 B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin 2 B&W.jpg"
"B","Baby Grin 2","baby-grin-2.html","Digitized Versions","Baby Grin 2 COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin 2 COLOR.jpg"
"B","Baby Grin 2","baby-grin-2.html","Collector Cards","Baby Grin 2 card.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin 2 card.png"
"B","Badly Drawn Batman Grin","badly-drawn-batman-grin.html","Digitized Versions","Badly Drawn Batman Grin ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Badly Drawn Batman Grin ORIGINAL COLOR.jpg"
"B","Barney Grin","barney-grin.html","Original Drawing","Barney Grin front 1 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin front 1 ORIGINAL.jpg"
"B","Barney Grin","barney-grin.html","Original Drawing","Barney Grin front 2 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin front 2 ORIGINAL.jpg"
"B","Barney Grin","barney-grin.html","Original Drawing","Barney Grin back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin back ORIGINAL.jpg"
"B","Barney Grin","barney-grin.html","Original Drawing","Barney Grin side ORIGINAL 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin side ORIGINAL 2.jpg"
"B","Barney Grin","barney-grin.html","Original Drawing","Barney Grin side ORIGINAL closeup.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin side ORIGINAL closeup.jpg"
"B","Barney Grin","barney-grin.html","Original Drawing","Barney Grin side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin side ORIGINAL.jpg"
