"Batch","Character","Page","Section","File","FullPath"
"B","DEADMAU5 Grin","deadmau5-grin.html","Digitized Versions","DEADMAU5 Grin COLOR 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin COLOR 2.jpg"
"B","DEADMAU5 Grin","deadmau5-grin.html","Digitized Versions","DEADMAU5 Grin COLOR 3.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin COLOR 3.jpg"
"B","DEADMAU5 Grin","deadmau5-grin.html","Digitized Versions","DEADMAU5 Grin COLOR 5.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin COLOR 5.jpg"
"B","DEADMAU5 Grin Running COLORS","deadmau5-grin-running-colors.html","Digitized Versions","DEADMAU5 Grin Running COLORS.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin Running COLORS.jpg"
"B","DEADMAUGrin back COLORS","deadmaugrin-back-colors.html","Digitized Versions","DEADMAUGrin back COLORS.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAUGrin back COLORS.jpg"
"B","DEADMAUGrin COLORS","deadmaugrin-colors.html","Digitized Versions","DEADMAUGrin  COLORS.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAUGrin  COLORS.jpg"
"B","DEADMAUGrin side COLORS","deadmaugrin-side-colors.html","Digitized Versions","DEADMAUGrin side COLORS.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAUGrin side COLORS.jpg"
"B","Deputy Dog Grin","deputy-dog-grin.html","Digitized Versions","Deputy Dog Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Deputy Dog Grin COLOR.jpg"
"B","Dr Bub Quack Animation 1","dr-bub-quack-animation-1.html","Digitized Versions","Dr Bub Quack Animation 1.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dr Bub Quack Animation 1.jpg"
"B","Dr Bub Quack Animation 2","dr-bub-quack-animation-2.html","Digitized Versions","Dr Bub Quack Animation 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dr Bub Quack Animation 2.jpg"
"B","Dr Bub Quack Grin","dr-bub-quack-grin.html","Digitized Versions","Dr Bub Quack Grin COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dr Bub Quack Grin COLOR.jpg"
