"Batch","Character","Page","Section","File"
"H-M","Hawaiian Punch Grin","hawaiian-punch-grin.html","Original Drawing","Hawaiian Punch Grin ORIGINAL.jpg"
"H-M","Hello Kitty Grin","hello-kitty-grin.html","Original Drawing","Hello Kitty Grin left side ORIGINAL.jpg"
"H-M","Hello Kitty Grin","hello-kitty-grin.html","Original Drawing","Hello Kitty Grin right side ORIGINAL.jpg"
"H-M","Hello Kitty Grin","hello-kitty-grin.html","Original Drawing","Hello Kitty Grin ORIGINAL 2.jpg"
"H-M","Hello Kitty Grin","hello-kitty-grin.html","Original Drawing","Hello Kitty Grin ORIGINAL.jpg"
"H-M","Hello Kitty Grin","hello-kitty-grin.html","Digitized Versions","Hello Kitty Grin left side B&W.jpg"
"H-M","Hello Kitty Grin","hello-kitty-grin.html","Digitized Versions","Hello Kitty Grin right side B&W.jpg"
"H-M","Homer Grin","homer-grin.html","Original Drawing","Homer Grin headshot side ORIGINAL.jpg"
"H-M","Homer Grin","homer-grin.html","Original Drawing","Homer Grin headshot ORIGINAL.jpg"
"H-M","Homer Grin","homer-grin.html","Original Drawing","Homer Grin ORIGINAL COLOR.png"
"H-M","Homer Grin","homer-grin.html","Digitized Versions","Homer Grin headshot side COLOR.jpg"
"H-M","Homer Grin","homer-grin.html","Digitized Versions","Homer Grin headshot COLOR.jpg"
"H-M","Homer Grin 3","homer-grin-3.html","Original Drawing","Homer Grin 3 front ORIGINAL.jpg"
"H-M","Homer Grin 3","homer-grin-3.html","Original Drawing","Homer Grin 3 back ORIGINAL.jpg"
"H-M","Homer Grin 3","homer-grin-3.html","Original Drawing","Homer Grin 3 left side ORIGINAL.jpg"
"H-M","Homer Grin 3","homer-grin-3.html","Original Drawing","Homer Grin 3 right side ORIGINAL.jpg"
"H-M","Homer Grin 3","homer-grin-3.html","Digitized Versions","Homer Grin 3 front B&W.jpg"
"H-M","Homer Grin 3","homer-grin-3.html","Digitized Versions","Homer Grin 3 front COLOR.jpg"
"H-M","Homer Grin Flying","homer-grin-flying.html","Original Drawing","Homer Grin Flying ORIGINAL.jpg"
"H-M","Homer grin version 2","homer-grin-version-2.html","Original Drawing","Homer Grin version 2 front ORIGINAL.jpg"
"H-M","Homer grin version 2","homer-grin-version-2.html","Original Drawing","Homer grin version 2 back ORIGINAL.jpg"
"H-M","Homer grin version 2","homer-grin-version-2.html","Original Drawing","Homer Grin version 2 left side ORIGINAL.jpg"
"H-M","Homer grin version 2","homer-grin-version-2.html","Original Drawing","Homer Grin version 2 right side ORIGINAL.jpg"
"H-M","Homer grin version 2","homer-grin-version-2.html","Digitized Versions","Homer Grin version 2 front B&W.jpg"
"H-M","Homer grin version 2","homer-grin-version-2.html","Digitized Versions","Homer Grin version 2 front COLOR.jpg"
"H-M","Honey Butts Grin","honey-butts-grin.html","Original Drawing","Honey Butts Grin ORIGINAL.jpg"
"H-M","Honey Butts Grin","honey-butts-grin.html","Digitized Versions","Honey Butts Grin B&W.jpg"
"H-M","Hound Grin","hound-grin.html","Original Drawing","Hound Grin Face ORIGINAL.jpg"
"H-M","Hound Grin","hound-grin.html","Original Drawing","Hound Grin ORIGINAL.jpg"
"H-M","Hound Grin","hound-grin.html","Digitized Versions","Hound Grin  COLOR.jpg"
"H-M","HR Puffenstuff Grin","hr-puffenstuff-grin.html","Original Drawing","HR Puffenstuff Grin ORIGINAL.jpg"
"H-M","HR Puffenstuff Grin","hr-puffenstuff-grin.html","Digitized Versions","HR Puffenstuff Grin COLOR.jpg"
"H-M","Jake the Dog Grin","jake-the-dog-grin.html","Original Drawing","Jake the Dog Grin ORIGINAL.jpg"
"H-M","Jane Jetson Grin","jane-jetson-grin.html","Original Drawing","Jane Jetson Grin ORIGINAL.jpg"
"H-M","Jeremiah Grin 1","jeremiah-grin-1.html","Original Drawing","Jeremiah Grin 1 ORIGINAL.jpg"
"H-M","Jeremiah Grin 2","jeremiah-grin-2.html","Original Drawing","Jeremiah Grin 2 ORIGINAL.jpg"
"H-M","Jeremiah Grin 3","jeremiah-grin-3.html","Original Drawing","Jeremiah Grin 3 ORIGINAL.jpg"
"H-M","Jeremiah Grin 4","jeremiah-grin-4.html","Original Drawing","Jeremiah Grin 4 ORIGINAL.jpg"
"H-M","Jimi Hendrix Grin","jimi-hendrix-grin.html","Original Drawing","Jimi Hendrix Grin ORIGINAL.jpg"
"H-M","Jimi Hendrix Grin","jimi-hendrix-grin.html","Original Drawing","Jimi Hendrix Grin ORIGINAL COLOR 1.jpg"
"H-M","Jimi Hendrix Grin","jimi-hendrix-grin.html","Original Drawing","Jimi Hendrix Grin ORIGINAL COLOR 2.jpg"
"H-M","Jimi Hendrix Grin","jimi-hendrix-grin.html","Original Drawing","Jimi Hendrix Grin ORIGINAL COLOR 3.jpg"
"H-M","Jimi Hendrix Grin","jimi-hendrix-grin.html","Digitized Versions","Jimi Hendrix Grin B&W.jpg"
