"Title","Slug","Thumb"
"Alien Baby Grin","alien-baby-grin.html","../../images/Sketches/grins/Alien%20Baby%20Grin%20colorway%201.jpg"
"Alien Grin","alien-grin.html","../../images/Sketches/grins/Alien%20Grin%20COLOR.png"
"Angel Grin","angel-grin.html","../../images/Sketches/grins/Angel%20Grin%20B&W.jpg"
"Angel Wings Grin","angel-wings-grin.html","../../images/Sketches/grins/Angel%20Wings%20Grin%201.png"
"Artist Grin","artist-grin.html","../../images/Sketches/grins/Artist%20Grin%20B&W.jpg"
"Astro Boy Grin","astro-boy-grin.html","../../images/Sketches/grins/Astro%20Boy%20Grin%20COLOR.jpg"
"Astrogrin","astrogrin.html","../../images/Sketches/grins/Astrogrin%20ORIGINAL.jpg"
"Babalouie Grin","babalouie-grin.html","../../images/Sketches/grins/Babalouie%20Grin%20ORIGINAL.jpg"
"Baby Grin","baby-grin.html","../../images/Sketches/grins/Baby%20Grin%20ORIGINAL%202.jpg"
"Baby Grin 2","baby-grin-2.html","../../images/Sketches/grins/Baby%20Grin%202%20ORIGINAL.jpg"
"Badly Drawn Batman Grin","badly-drawn-batman-grin.html","../../images/Sketches/grins/Badly%20Drawn%20Batman%20Grin%20ORIGINAL%20COLOR.jpg"
"Barney Grin","barney-grin.html","../../images/Sketches/grins/Barney%20Grin%20front%201%20ORIGINAL.jpg"
"Barney Grin Flying","barney-grin-flying.html","../../images/Sketches/grins/Barney%20Grin%20Flying%20ORIGINAL.jpg"
"Barney Grin Guernical","barney-grin-guernical.html","../../images/Sketches/grins/Barney%20Grin%20Guernical%20ORIGINAL.jpg"
"Bart Grin","bart-grin.html","../../images/Sketches/grins/Bart%20Grin%20Chubby%20front%20ORIGINAL.jpg"
"Bart Grin chubby","bart-grin-chubby.html","../../images/Sketches/grins/Bart%20Grin%20Chubby%20front%20ORIGINAL.jpg"
"Bart Grin short","bart-grin-short.html","../../images/Sketches/grins/Bart%20Grin%20short%20front%20COLOR.jpg"
"Bartman Grin","bartman-grin.html","../../images/Sketches/grins/Bartman%20Grin%20flying%20ORIGINAL.jpg"
