"FileName","Extension","SizeKB","UsedOnAnyGrinsHtmlPage","ProposedCharacter","ProposedPageFile","ProposedSection","PageAlreadyExists","ProposedAction","ReviewNotes","FullPath"
"Alien Baby Grin colorway 1.jpg",".jpg","384.4","True","Alien Baby Grin","alien-baby-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Baby Grin colorway 1.jpg"
"Alien Baby Grin colorway 2.jpg",".jpg","399.6","True","Alien Baby Grin","alien-baby-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Baby Grin colorway 2.jpg"
"Alien Baby Grin colorway 3.jpg",".jpg","366.3","True","Alien Baby Grin","alien-baby-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Baby Grin colorway 3.jpg"
"Alien Grin COLOR.png",".png","401.6","True","Alien Grin","alien-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin COLOR.png"
"Alien Grin side view (2).png",".png","190.6","True","Alien Grin side view (2)","alien-grin-side-view-2.html","Digitized Versions","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (2).png"
"Alien Grin side view (3).png",".png","198.9","True","Alien Grin side view (3)","alien-grin-side-view-3.html","Digitized Versions","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (3).png"
"Alien Grin side view (4).png",".png","199.8","True","Alien Grin side view (4)","alien-grin-side-view-4.html","Digitized Versions","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (4).png"
"Alien Grin side view (5).png",".png","197.4","True","Alien Grin side view (5)","alien-grin-side-view-5.html","Digitized Versions","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (5).png"
"Alien Grin side view (6) copy.png",".png","206.5","True","Alien Grin side view (6)","alien-grin-side-view-6.html","Digitized Versions","False","Likely create new page","Filename contains copy: review whether duplicate or intentional. Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (6) copy.png"
"Alien Grin side view (7).png",".png","194.8","True","Alien Grin side view (7)","alien-grin-side-view-7.html","Digitized Versions","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view (7).png"
"Alien Grin side view.png",".png","212.1","True","Alien Grin","alien-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Alien Grin side view.png"
"Angel Grin B&W.jpg",".jpg","361.2","True","Angel Grin","angel-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Grin B&W.jpg"
"Angel Grin card.jpg",".jpg","214.5","True","Angel Grin","angel-grin.html","Collector Cards","True","Add to existing page","Filename suggests collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Grin card.jpg"
"Angel Grin card.png",".png","187.5","True","Angel Grin","angel-grin.html","Collector Cards","True","Add to existing page","Filename suggests collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Grin card.png"
"Angel Wings Grin 1.png",".png","130.4","True","Angel Wings Grin 1","angel-wings-grin-1.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Wings Grin 1.png"
"Angel Wings Grin 2.png",".png","130.6","True","Angel Wings Grin 2","angel-wings-grin-2.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Wings Grin 2.png"
"Angel Wings Grin 3.png",".png","209.8","True","Angel Wings Grin 3","angel-wings-grin-3.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Angel Wings Grin 3.png"
"Artist Grin B&W.jpg",".jpg","425.3","True","Artist Grin","artist-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Artist Grin B&W.jpg"
"Artist Grin card.jpg",".jpg","206.9","True","Artist Grin","artist-grin.html","Collector Cards","True","Add to existing page","Filename suggests collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Artist Grin card.jpg"
"Artist Grin card.png",".png","226","True","Artist Grin","artist-grin.html","Collector Cards","True","Add to existing page","Filename suggests collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Artist Grin card.png"
"Artist Grin COLOR.jpg",".jpg","237","True","Artist Grin","artist-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Artist Grin COLOR.jpg"
"Astro Boy Grin card.jpg",".jpg","408.4","True","Astro Boy Grin","astro-boy-grin.html","Collector Cards","True","Add to existing page","Filename suggests collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Astro Boy Grin card.jpg"
"Astro Boy Grin COLOR.jpg",".jpg","211.8","True","Astro Boy Grin","astro-boy-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Astro Boy Grin COLOR.jpg"
"Astrogrin B&W.jpg",".jpg","275.6","True","Astrogrin","astrogrin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Astrogrin B&W.jpg"
"Astrogrin COLOR.jpg",".jpg","328.9","True","Astrogrin","astrogrin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Astrogrin COLOR.jpg"
"Astrogrin ORIGINAL.jpg",".jpg","242.1","True","Astrogrin","astrogrin.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Astrogrin ORIGINAL.jpg"
"Babalouie Grin B&W.jpg",".jpg","204.9","True","Babalouie Grin","babalouie-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Babalouie Grin B&W.jpg"
"Babalouie Grin COLOR.jpg",".jpg","234.8","True","Babalouie Grin","babalouie-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Babalouie Grin COLOR.jpg"
"Babalouie Grin ORIGINAL.jpg",".jpg","205.5","True","Babalouie Grin","babalouie-grin.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Babalouie Grin ORIGINAL.jpg"
"Baby Grin 2 B&W.jpg",".jpg","181.2","True","Baby Grin 2","baby-grin-2.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin 2 B&W.jpg"
"Baby Grin 2 card.png",".png","148.3","True","Baby Grin 2","baby-grin-2.html","Collector Cards","True","Add to existing page","Filename suggests collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin 2 card.png"
"Baby Grin 2 COLOR.jpg",".jpg","207.6","True","Baby Grin 2","baby-grin-2.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin 2 COLOR.jpg"
"Baby Grin 2 ORIGINAL.jpg",".jpg","269.7","True","Baby Grin 2","baby-grin-2.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin 2 ORIGINAL.jpg"
"Baby Grin COLOR.jpg",".jpg","300.1","True","Baby Grin","baby-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin COLOR.jpg"
"Baby Grin ORIGINAL 2.jpg",".jpg","250.7","True","Baby Grin","baby-grin.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin ORIGINAL 2.jpg"
"Baby Grin ORIGINAL COLOR.jpg",".jpg","246.8","True","Baby Grin","baby-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin ORIGINAL COLOR.jpg"
"Baby Grin ORIGINAL.jpg",".jpg","278.2","True","Baby Grin","baby-grin.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Baby Grin ORIGINAL.jpg"
"Badly Drawn Batman Grin ORIGINAL COLOR.jpg",".jpg","271.7","True","Badly Drawn Batman Grin","badly-drawn-batman-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Badly Drawn Batman Grin ORIGINAL COLOR.jpg"
"Barney Grin B&W.jpg",".jpg","201.9","True","Barney Grin","barney-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin B&W.jpg"
"Barney Grin back B&W.jpg",".jpg","180.2","True","Barney Grin","barney-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin back B&W.jpg"
"Barney Grin back COLOR.jpg",".jpg","200.8","True","Barney Grin","barney-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin back COLOR.jpg"
"Barney Grin back ORIGINAL.jpg",".jpg","171.2","True","Barney Grin","barney-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin back ORIGINAL.jpg"
"Barney Grin COLOR.jpg",".jpg","238.2","True","Barney Grin","barney-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin COLOR.jpg"
"Barney Grin Flying B&W.jpg",".jpg","190","True","Barney Grin Flying","barney-grin-flying.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin Flying B&W.jpg"
"Barney Grin Flying COLOR.jpg",".jpg","199.1","True","Barney Grin Flying","barney-grin-flying.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin Flying COLOR.jpg"
"Barney Grin Flying ORIGINAL.jpg",".jpg","305.4","True","Barney Grin Flying","barney-grin-flying.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin Flying ORIGINAL.jpg"
"Barney Grin front 1 B&W.jpg",".jpg","208.4","True","Barney Grin","barney-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Barney Grin front 1 B&W.jpg"
