"FileName","Extension","SizeKB","UsedOnAnyGrinsHtmlPage","ProposedCharacter","ProposedPageFile","ProposedSection","PageAlreadyExists","ProposedAction","ReviewNotes","FullPath"
"Bart Grin front ORIGINAL COLOR.jpg",".jpg","168.8","False","Bart Grin","bart-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card. Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin front ORIGINAL COLOR.jpg"
"Bart Grin side ORIGINAL COLOR.jpg",".jpg","153.2","False","Bart Grin","bart-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card. Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin side ORIGINAL COLOR.jpg"
"Batman Grin Icon .jpg",".jpg","427.8","False","Batman Grin Icon","batman-grin-icon.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Batman Grin Icon .jpg"
"Batman Grin ORIGINAL.jpg",".jpg","315.3","False","Batman Grin","batman-grin.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Batman Grin ORIGINAL.jpg"
"Big Boy Grin ORIGINAL COLOR.jpg",".jpg","264","False","Big Boy Grin","big-boy-grin.html","Original Drawing","True","Add to existing page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Big Boy Grin ORIGINAL COLOR.jpg"
"Butterfly Wings Grin 1.png",".png","156.6","False","Butterfly Wings Grin 1","butterfly-wings-grin-1.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Butterfly Wings Grin 1.png"
"Butterfly Wings Grin 2.png",".png","142.5","False","Butterfly Wings Grin 2","butterfly-wings-grin-2.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Butterfly Wings Grin 2.png"
"Darth Grin ORIGINAL.jpg",".jpg","276.3","False","Darth Grin","darth-grin.html","Original Drawing","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Darth Grin ORIGINAL.jpg"
"Darth Vader Grin B&W.png",".png","97.1","False","Darth Vader Grin","darth-vader-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Darth Vader Grin B&W.png"
"Darth Vader Grin back ORIGINAL.jpg",".jpg","131.6","False","Darth Vader Grin","darth-vader-grin.html","Original Drawing","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Darth Vader Grin back ORIGINAL.jpg"
"Darth Vader Grin COLOR.png",".png","159","False","Darth Vader Grin","darth-vader-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Darth Vader Grin COLOR.png"
"Darth Vader Grin ORIGINAL.jpg",".jpg","220.8","False","Darth Vader Grin","darth-vader-grin.html","Original Drawing","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Darth Vader Grin ORIGINAL.jpg"
"Darth Vader Grin side B&W.jpg",".jpg","351.8","False","Darth Vader Grin","darth-vader-grin.html","Digitized Versions","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Darth Vader Grin side B&W.jpg"
"Darth Vader Grin side COLOR.jpg",".jpg","295.1","False","Darth Vader Grin","darth-vader-grin.html","Digitized Versions","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Darth Vader Grin side COLOR.jpg"
"Darth Vader Grin side ORIGINAL.jpg",".jpg","157.3","False","Darth Vader Grin","darth-vader-grin.html","Original Drawing","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Darth Vader Grin side ORIGINAL.jpg"
"David Grin COLOR.jpg",".jpg","457.9","False","David Grin","david-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\David Grin COLOR.jpg"
"David Grin ORIGINAL COLOR.jpg",".jpg","59.5","False","David Grin","david-grin.html","Original Drawing","False","Likely create new page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\David Grin ORIGINAL COLOR.jpg"
"David Grin ORIGINAL.jpg",".jpg","485.3","False","David Grin","david-grin.html","Original Drawing","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\David Grin ORIGINAL.jpg"
"DEADMAU5 Grin B&W.jpg",".jpg","464.3","False","DEADMAU5 Grin","deadmau5-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin B&W.jpg"
"DEADMAU5 Grin back B&W.jpg",".jpg","440.8","False","DEADMAU5 Grin","deadmau5-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin back B&W.jpg"
"DEADMAU5 Grin back ORIGINAL.jpg",".jpg","266.6","False","DEADMAU5 Grin","deadmau5-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin back ORIGINAL.jpg"
"DEADMAU5 Grin COLOR 1.jpg",".jpg","273.1","False","DEADMAU5 Grin","deadmau5-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin COLOR 1.jpg"
"DEADMAU5 Grin COLOR 4.jpg",".jpg","293.8","False","DEADMAU5 Grin","deadmau5-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin COLOR 4.jpg"
"DEADMAU5 Grin COLOR 6.jpg",".jpg","287.4","False","DEADMAU5 Grin","deadmau5-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin COLOR 6.jpg"
"DEADMAU5 Grin ORIGINAL.jpg",".jpg","280.7","False","DEADMAU5 Grin","deadmau5-grin.html","Original Drawing","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin ORIGINAL.jpg"
"DEADMAU5 Grin Running B&W.jpg",".jpg","410.8","False","DEADMAU5 Grin Running","deadmau5-grin-running.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin Running B&W.jpg"
"DEADMAU5 Grin Running ORIGINAL.jpg",".jpg","181.1","False","DEADMAU5 Grin Running","deadmau5-grin-running.html","Original Drawing","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin Running ORIGINAL.jpg"
"DEADMAU5 Grin side B&W.jpg",".jpg","292","False","DEADMAU5 Grin","deadmau5-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin side B&W.jpg"
"DEADMAU5 Grin side ORIGINAL.jpg",".jpg","231.2","False","DEADMAU5 Grin","deadmau5-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin side ORIGINAL.jpg"
"DEADMAU5 Grin three quarters B&W.jpg",".jpg","335.9","False","DEADMAU5 Grin","deadmau5-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin three quarters B&W.jpg"
"DEADMAU5 Grin three quarters ORIGINAL.jpg",".jpg","239.5","False","DEADMAU5 Grin","deadmau5-grin.html","Original Drawing","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin three quarters ORIGINAL.jpg"
"Dementon Grin B&W.jpg",".jpg","422.2","False","Dementon Grin","dementon-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dementon Grin B&W.jpg"
"Dementon Grin COLOR.jpg",".jpg","324.8","False","Dementon Grin","dementon-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dementon Grin COLOR.jpg"
"Dementon Grin ORIGINAL.jpg",".jpg","313.5","False","Dementon Grin","dementon-grin.html","Original Drawing","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dementon Grin ORIGINAL.jpg"
"Deputy Dog Grin B&W.jpg",".jpg","415","False","Deputy Dog Grin","deputy-dog-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Deputy Dog Grin B&W.jpg"
"Devil Grin B&W.jpg",".jpg","258.2","False","Devil Grin","devil-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Devil Grin B&W.jpg"
"Devil Grin COLOR.jpg",".jpg","394.2","False","Devil Grin","devil-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Devil Grin COLOR.jpg"
