"ProposedCharacter","ProposedPageFile","PageAlreadyExists","ProposedAction","UnusedFileCount","OriginalDrawingCount","DigitizedVersionsCount","CollectorCardsCount","NeedsReviewCount","Files"
"Bart Grin","bart-grin.html","True","Add to existing page","2","2","0","0","2","Bart Grin front ORIGINAL COLOR.jpg | Bart Grin side ORIGINAL COLOR.jpg"
"Batman Grin","batman-grin.html","True","Add to existing page","1","1","0","0","0","Batman Grin ORIGINAL.jpg"
"Batman Grin Icon","batman-grin-icon.html","True","Add to existing page","1","0","1","0","0","Batman Grin Icon .jpg"
"Big Boy Grin","big-boy-grin.html","True","Add to existing page","1","1","0","0","1","Big Boy Grin ORIGINAL COLOR.jpg"
"Butterfly Wings Grin 1","butterfly-wings-grin-1.html","False","Likely create new page","1","0","1","0","0","Butterfly Wings Grin 1.png"
"Butterfly Wings Grin 2","butterfly-wings-grin-2.html","False","Likely create new page","1","0","1","0","0","Butterfly Wings Grin 2.png"
"Darth Grin","darth-grin.html","False","Likely create new page","1","1","0","0","0","Darth Grin ORIGINAL.jpg"
"Darth Vader Grin","darth-vader-grin.html","False","Likely create new page","7","3","4","0","4","Darth Vader Grin B&W.png | Darth Vader Grin back ORIGINAL.jpg | Darth Vader Grin COLOR.png | Darth Vader Grin ORIGINAL.jpg | Darth Vader Grin side B&W.jpg | Darth Vader Grin side COLOR.jpg | Darth Vader Grin side ORIGINAL.jpg"
"David Grin","david-grin.html","False","Likely create new page","3","2","1","0","1","David Grin COLOR.jpg | David Grin ORIGINAL COLOR.jpg | David Grin ORIGINAL.jpg"
"DEADMAU5 Grin","deadmau5-grin.html","True","Add to existing page","11","4","7","0","6","DEADMAU5 Grin B&W.jpg | DEADMAU5 Grin back B&W.jpg | DEADMAU5 Grin back ORIGINAL.jpg | DEADMAU5 Grin COLOR 1.jpg | DEADMAU5 Grin COLOR 4.jpg | DEADMAU5 Grin COLOR 6.jpg | DEADMAU5 Grin ORIGINAL.jpg | DEADMAU5 Grin side B&W.jpg | DEADMAU5 Grin side ORIGINAL.jpg | DEADMAU5 Grin three quarters B&W.jpg | DEADMAU5 Grin three quarters ORIGINAL.jpg"
"DEADMAU5 Grin Running","deadmau5-grin-running.html","False","Likely create new page","2","1","1","0","0","DEADMAU5 Grin Running B&W.jpg | DEADMAU5 Grin Running ORIGINAL.jpg"
"Dementon Grin","dementon-grin.html","False","Likely create new page","3","1","2","0","0","Dementon Grin B&W.jpg | Dementon Grin COLOR.jpg | Dementon Grin ORIGINAL.jpg"
"Deputy Dog Grin","deputy-dog-grin.html","True","Add to existing page","1","0","1","0","0","Deputy Dog Grin B&W.jpg"
"Devil Grin","devil-grin.html","False","Likely create new page","3","1","2","0","1","Devil Grin B&W.jpg | Devil Grin COLOR.jpg | Devil Grin ORIGINAL COLOR.jpg"
