"Title","Page","Image","MatchHref","MatchText","MatchWhy","OldSrc","NewSrc","Status"
"Blotchy Grin","blotchy-grin.html","Blotchy Grin B&W.jpg","blotchy-grin.html","Blotchy Grin","href exact","../../images/Sketches/grins/Blotchy%20Grin%20ORIGINAL.jpg","../../images/Sketches/grins/Blotchy%20Grin%20B%26W.jpg","Updated"
"Boba Fett Grin","boba-fett-grin.html","Boba Fett Grin front COLOR.jpg","boba-fett-grin.html","Boba Fett Grin","href exact","../../images/Sketches/grins/Boba%20Fett%20Grin%20front%20ORIGINAL.jpg","../../images/Sketches/grins/Boba%20Fett%20Grin%20front%20COLOR.jpg","Updated"
"Boo Boo Bear Grin","boo-boo-bear-grin.html","Boo Boo Bear Grin COLOR.jpg","boo-boo-bear-grin.html","Boo Boo Bear Grin","href exact","../../images/Sketches/grins/Boo%20Boo%20Bear%20Grin%20ORIGINAL.jpg","../../images/Sketches/grins/Boo%20Boo%20Bear%20Grin%20COLOR.jpg","Updated"
"Bored Ape Grin","bored-ape-grin.html","Bored Ape Cowboy Grin COLOR 2.jpg","bored-ape-grin.html","Bored Ape Grin","href exact","../../images/Sketches/grins/Bored%20Ape%20Grin%20B&amp;W.jpg","../../images/Sketches/grins/Bored%20Ape%20Cowboy%20Grin%20COLOR%202.jpg","Updated"
"B-Rex Grin","b-rex-grin.html","B-Rex Grin side COLOR 1.jpg","b-rex-grin.html","B-Rex Grin","href exact","../../images/Sketches/grins/B-Rex%20Grin%20front%20ORIGINAL.jpg","../../images/Sketches/grins/B-Rex%20Grin%20side%20COLOR%201.jpg","Updated"
"Bugs Grin","bugs-grin.html","Bugs Grin COLOR.jpg","bugs-grin.html","Bugs Grin","href exact","../../images/Sketches/grins/Bugs%20Grin%20ORIGINAL.jpg","../../images/Sketches/grins/Bugs%20Grin%20COLOR.jpg","Updated"
"Bulldog Grin","bulldog-grin.html","Bulldog Grin COLOR.jpg","bulldog-grin.html","Bulldog Grin","href exact","../../images/Sketches/grins/Bulldog%20Grin%20B&amp;W.jpg","../../images/Sketches/grins/Bulldog%20Grin%20COLOR.jpg","Updated"
"C3PO Grin","c3po-grin.html","C3PO Grin COLOR.jpg","c3po-grin.html","C3PO Grin","href exact","../../images/Sketches/grins/C3PO%20Grin%20B&amp;W.jpg","../../images/Sketches/grins/C3PO%20Grin%20COLOR.jpg","Updated"
"Businessman Grin","businessman-grin.html","Businessman Grin COLOR.jpg","businessman-grin.html","Businessman Grin","href exact","../../images/Sketches/grins/Businessman%20grin%20back%20ORIGINAL.jpg","../../images/Sketches/grins/Businessman%20Grin%20COLOR.jpg","Updated"
"Cafeteria Lady Grin","cafeteria-lady-grin.html","Cafeteria Lady Grin COLOR.jpg","cafeteria-lady-grin.html","Cafeteria Lady Grin","href exact","../../images/Sketches/grins/Cafeteria%20Lady%20Grin%20ORIGINAL.jpg","../../images/Sketches/grins/Cafeteria%20Lady%20Grin%20COLOR.jpg","Updated"
"Carmelo Grin","carmelo-grin.html","Carmelo Grin COLOR.jpg","carmelo-grin.html","Carmelo Grin","href exact","../../images/Sketches/grins/Carmelo%20Grin%20ORIGINAL.jpg","../../images/Sketches/grins/Carmelo%20Grin%20COLOR.jpg","Updated"
"Carousel Grinnie","carousel-grinnie.html","Carousel Grinnie front COLOR.jpg","carousel-grinnie.html","Carousel Grinnie","href exact","../../images/Sketches/grins/Carousel%20Grinnie%20front%20ORIGINAL.jpg","../../images/Sketches/grins/Carousel%20Grinnie%20front%20COLOR.jpg","Updated"
"Cartman Grin","cartman-grin.html","Cartman Grin ORIGINAL COLOR 2.jpg","cartman-grin.html","Cartman Grin","href exact","../../images/Sketches/grins/Cartman%20Grin%20ORIGINAL.jpg","../../images/Sketches/grins/Cartman%20Grin%20ORIGINAL%20COLOR%202.jpg","Updated"
