"RelativePath","FullPath","Exists","SizeBytes","SizeReadable","Reason","FoundIn","OriginalReference"
".nojekyll","D:\github\ron-english-sketches-and-drawings\.nojekyll","False","","","GitHub Pages support file if present","Script baseline",".nojekyll"
"css\styles.css","D:\github\ron-english-sketches-and-drawings\css\styles.css","True","7655","7.48 KB","Local href reference from bridge page","Sketches\index.html","../css/styles.css"
"images\Sketches\aliens-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\aliens-hero.jpg","True","232973","227.51 KB","Local src reference from bridge page","Sketches\index.html","../images/Sketches/aliens-hero.jpg"
"images\Sketches\amphibians-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\amphibians-hero.jpg","True","154713","151.09 KB","Local src reference from bridge page","Sketches\index.html","../images/Sketches/amphibians-hero.jpg"
"images\Sketches\aquatic-dwellers-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\aquatic-dwellers-hero.jpg","True","148028","144.56 KB","Local src reference from bridge page","Sketches\index.html","../images/Sketches/aquatic-dwellers-hero.jpg"
"images\Sketches\avians-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\avians-hero.jpg","True","180716","176.48 KB","Local src reference from bridge page","Sketches\index.html","../images/Sketches/avians-hero.jpg"
"images\Sketches\bears-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bears-hero.jpg","True","154889","151.26 KB","Local src reference from bridge page","Sketches\index.html","../images/Sketches/bears-hero.jpg"
"images\Sketches\bigfoot-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot-hero.jpg","True","188771","184.35 KB","Local src reference from bridge page","Sketches\index.html","../images/Sketches/bigfoot-hero.jpg"
"images\Sketches\brains-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\brains-hero.jpg","True","257542","251.51 KB","Local src reference from bridge page","Sketches\index.html","../images/Sketches/brains-hero.jpg"
"images\Sketches\canines-and-felines-hero.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\canines-and-felines-hero.jpg","True","210426","205.49 KB","Local src reference from bridge page","Sketches\index.html","../images/Sketches/canines-and-felines-hero.jpg"
