"ReferenceType","OriginalReference","IsExternalOrSkipped","ResolvedFullPath","ResolvedRelativePath","Exists","PathType"
"attribute:href","../css/styles.css","False","D:\github\ron-english-sketches-and-drawings\css\styles.css","css\styles.css","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","True","","","",""
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/index.html","True","","","",""
"attribute:src","../images/Sketches/aliens-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\aliens-hero.jpg","images\Sketches\aliens-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/amphibians/index.html","True","","","",""
"attribute:src","../images/Sketches/amphibians-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\amphibians-hero.jpg","images\Sketches\amphibians-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/aquatic-dwellers/index.html","True","","","",""
"attribute:src","../images/Sketches/aquatic-dwellers-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\aquatic-dwellers-hero.jpg","images\Sketches\aquatic-dwellers-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/avians/index.html","True","","","",""
"attribute:src","../images/Sketches/avians-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\avians-hero.jpg","images\Sketches\avians-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/bears/index.html","True","","","",""
"attribute:src","../images/Sketches/bears-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\bears-hero.jpg","images\Sketches\bears-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/bigfoot/index.html","True","","","",""
"attribute:src","../images/Sketches/bigfoot-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot-hero.jpg","images\Sketches\bigfoot-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/brains/index.html","True","","","",""
"attribute:src","../images/Sketches/brains-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\brains-hero.jpg","images\Sketches\brains-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/canines-and-felines/index.html","True","","","",""
"attribute:src","../images/Sketches/canines-and-felines-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\canines-and-felines-hero.jpg","images\Sketches\canines-and-felines-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-pop-culture/Sketches/celebrity-characters/index.html","True","","","",""
"attribute:src","../images/Sketches/celebrity-characters-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters-hero.jpg","images\Sketches\celebrity-characters-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-pop-culture/Sketches/character-balls/index.html","True","","","",""
"attribute:src","../images/Sketches/character-balls-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-balls-hero.jpg","images\Sketches\character-balls-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-pop-culture/Sketches/combrats/index.html","True","","","",""
"attribute:src","../images/Sketches/combrats-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\combrats-hero.jpg","images\Sketches\combrats-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-objects/Sketches/flowers/index.html","True","","","",""
"attribute:src","../images/Sketches/flowers-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\flowers-hero.jpg","images\Sketches\flowers-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-grins/Sketches/grins/index.html","True","","","",""
"attribute:src","../images/Sketches/grinnies-hero.jpg","False","D:\github\ron-english-sketches-and-drawings\images\Sketches\grinnies-hero.jpg","images\Sketches\grinnies-hero.jpg","True","File"
"attribute:href","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/insects/index.html","True","","","",""
