"Name","Type","RelativePath","FullPath","IsProtectedByBridgeAudit","FileCount","FolderCount","SizeBytes","SizeReadable","Recommendation","Reason"
"objects","Folder","Sketches\objects","D:\github\ron-english-sketches-and-drawings\Sketches\objects","True","721","720","6345878","6.05 MB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"aliens","Folder","Sketches\aliens","D:\github\ron-english-sketches-and-drawings\Sketches\aliens","True","247","0","2203207","2.10 MB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"grins","Folder","Sketches\grins","D:\github\ron-english-sketches-and-drawings\Sketches\grins","True","276","0","2174881","2.07 MB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"light-cult","Folder","Sketches\light-cult","D:\github\ron-english-sketches-and-drawings\Sketches\light-cult","True","222","221","1954950","1.86 MB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"celebrity-characters","Folder","Sketches\celebrity-characters","D:\github\ron-english-sketches-and-drawings\Sketches\celebrity-characters","True","112","113","1165365","1.11 MB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"small-mammals","Folder","Sketches\small-mammals","D:\github\ron-english-sketches-and-drawings\Sketches\small-mammals","True","113","112","1057452","1.01 MB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"avians","Folder","Sketches\avians","D:\github\ron-english-sketches-and-drawings\Sketches\avians","True","104","15","1028939","1,004.82 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"ungulates","Folder","Sketches\ungulates","D:\github\ron-english-sketches-and-drawings\Sketches\ungulates","True","94","94","852224","832.25 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"mythical-beings","Folder","Sketches\mythical-beings","D:\github\ron-english-sketches-and-drawings\Sketches\mythical-beings","True","88","88","748541","731.00 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"canines-and-felines","Folder","Sketches\canines-and-felines","D:\github\ron-english-sketches-and-drawings\Sketches\canines-and-felines","True","70","69","713968","697.23 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"kaijus","Folder","Sketches\kaijus","D:\github\ron-english-sketches-and-drawings\Sketches\kaijus","True","71","70","696592","680.27 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"skeletons","Folder","Sketches\skeletons","D:\github\ron-english-sketches-and-drawings\Sketches\skeletons","True","74","73","671310","655.58 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"aquatic-dwellers","Folder","Sketches\aquatic-dwellers","D:\github\ron-english-sketches-and-drawings\Sketches\aquatic-dwellers","True","70","7","657666","642.25 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"reptiles","Folder","Sketches\reptiles","D:\github\ron-english-sketches-and-drawings\Sketches\reptiles","True","41","40","370895","362.20 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"character-balls","Folder","Sketches\character-balls","D:\github\ron-english-sketches-and-drawings\Sketches\character-balls","True","29","28","270513","264.17 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"flowers","Folder","Sketches\flowers","D:\github\ron-english-sketches-and-drawings\Sketches\flowers","True","30","29","267353","261.09 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"brains","Folder","Sketches\brains","D:\github\ron-english-sketches-and-drawings\Sketches\brains","True","26","25","239825","234.20 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"amphibians","Folder","Sketches\amphibians","D:\github\ron-english-sketches-and-drawings\Sketches\amphibians","True","30","2","221198","216.01 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"bigfoot","Folder","Sketches\bigfoot","D:\github\ron-english-sketches-and-drawings\Sketches\bigfoot","True","18","0","212069","207.10 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"kursed","Folder","Sketches\kursed","D:\github\ron-english-sketches-and-drawings\Sketches\kursed","True","21","20","182084","177.82 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"monkeys","Folder","Sketches\monkeys","D:\github\ron-english-sketches-and-drawings\Sketches\monkeys","True","17","16","145518","142.11 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"yin-yangs","Folder","Sketches\yin-yangs","D:\github\ron-english-sketches-and-drawings\Sketches\yin-yangs","True","11","10","105095","102.63 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"combrats","Folder","Sketches\combrats","D:\github\ron-english-sketches-and-drawings\Sketches\combrats","True","9","8","94657","92.44 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"bears","Folder","Sketches\bears","D:\github\ron-english-sketches-and-drawings\Sketches\bears","True","11","0","81756","79.84 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"tots","Folder","Sketches\tots","D:\github\ron-english-sketches-and-drawings\Sketches\tots","True","9","8","76748","74.95 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"snails","Folder","Sketches\snails","D:\github\ron-english-sketches-and-drawings\Sketches\snails","True","8","7","53667","52.41 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"tvities","Folder","Sketches\tvities","D:\github\ron-english-sketches-and-drawings\Sketches\tvities","True","5","4","41610","40.63 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"insects","Folder","Sketches\insects","D:\github\ron-english-sketches-and-drawings\Sketches\insects","True","3","2","20405","19.93 KB","KEEP / REVIEW","This item is referenced by the bridge page or is in a protected path."
"index.html","File","Sketches\index.html","D:\github\ron-english-sketches-and-drawings\Sketches\index.html","True","","","19651","19.19 KB","KEEP","This is the public bridge page."
