"Name","Type","RelativePath","FullPath","IsProtectedByBridgeAudit","FileCount","FolderCount","SizeBytes","SizeReadable","Recommendation","Reason"
"grins","Folder","images\Sketches\grins","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins","False","1363","0","345723015","329.71 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"aliens","Folder","images\Sketches\aliens","D:\github\ron-english-sketches-and-drawings\images\Sketches\aliens","False","1000","0","199718317","190.47 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"celebrity-characters","Folder","images\Sketches\celebrity-characters","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters","False","412","25","109690542","104.61 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Objects","Folder","images\Sketches\Objects","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects","False","546","22","109383396","104.32 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"aliens 2","Folder","images\Sketches\aliens 2","D:\github\ron-english-sketches-and-drawings\images\Sketches\aliens 2","False","470","0","105576548","100.69 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Small Mammals","Folder","images\Sketches\Small Mammals","D:\github\ron-english-sketches-and-drawings\images\Sketches\Small Mammals","False","588","9","83113826","79.26 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Ungulates","Folder","images\Sketches\Ungulates","D:\github\ron-english-sketches-and-drawings\images\Sketches\Ungulates","False","492","7","75515722","72.02 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Mythical Beings","Folder","images\Sketches\Mythical Beings","D:\github\ron-english-sketches-and-drawings\images\Sketches\Mythical Beings","False","383","7","65006458","61.99 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Skeletons","Folder","images\Sketches\Skeletons","D:\github\ron-english-sketches-and-drawings\images\Sketches\Skeletons","False","297","0","59012859","56.28 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Kaijus","Folder","images\Sketches\Kaijus","D:\github\ron-english-sketches-and-drawings\images\Sketches\Kaijus","False","304","0","53995359","51.49 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"aquatic-dwellers","Folder","images\Sketches\aquatic-dwellers","D:\github\ron-english-sketches-and-drawings\images\Sketches\aquatic-dwellers","False","214","7","46081079","43.95 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Canines and felines","Folder","images\Sketches\Canines and felines","D:\github\ron-english-sketches-and-drawings\images\Sketches\Canines and felines","False","323","4","45940949","43.81 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"avians","Folder","images\Sketches\avians","D:\github\ron-english-sketches-and-drawings\images\Sketches\avians","False","219","5","33474206","31.92 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Light Cult","Folder","images\Sketches\Light Cult","D:\github\ron-english-sketches-and-drawings\images\Sketches\Light Cult","False","269","0","32748089","31.23 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Kursed","Folder","images\Sketches\Kursed","D:\github\ron-english-sketches-and-drawings\images\Sketches\Kursed","False","120","0","27924051","26.63 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Reptiles","Folder","images\Sketches\Reptiles","D:\github\ron-english-sketches-and-drawings\images\Sketches\Reptiles","False","146","6","26581756","25.35 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"brains","Folder","images\Sketches\brains","D:\github\ron-english-sketches-and-drawings\images\Sketches\brains","False","98","0","19590951","18.68 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"bigfoot","Folder","images\Sketches\bigfoot","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot","False","81","0","17699167","16.88 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"amphibians","Folder","images\Sketches\amphibians","D:\github\ron-english-sketches-and-drawings\images\Sketches\amphibians","False","99","2","12850160","12.25 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Monkeys","Folder","images\Sketches\Monkeys","D:\github\ron-english-sketches-and-drawings\images\Sketches\Monkeys","False","69","0","11432775","10.90 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"Snails","Folder","images\Sketches\Snails","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails","False","22","0","10892207","10.39 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
"flowers","Folder","images\Sketches\flowers","D:\github\ron-english-sketches-and-drawings\images\Sketches\flowers","False","64","0","10149688","9.68 MB","Strong candidate for removal later","This old image folder should now be served from a split repo."
