"Name","Extension","RelativePath","FullPath","IsProtectedByBridgeAudit","SizeBytes","SizeReadable","LastWriteTime","Recommendation"
"Bart Grin chubby side ORIGINAL.jpg",".jpg","images\Sketches\grins\Bart Grin chubby side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin chubby side ORIGINAL.jpg","False","987040","963.91 KB","5/8/2026 5:41:22 AM","Candidate for removal later if not needed by bridge"
"Bart Grin chubby back ORIGINAL.jpg",".jpg","images\Sketches\grins\Bart Grin chubby back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin chubby back ORIGINAL.jpg","False","956258","933.85 KB","5/8/2026 5:41:22 AM","Candidate for removal later if not needed by bridge"
"Pony Snail B&W.jpg",".jpg","images\Sketches\Snails\Pony Snail B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails\Pony Snail B&W.jpg","False","891439","870.55 KB","5/10/2026 6:58:41 AM","Candidate for removal later if not needed by bridge"
"DEADMAU5 Grin side ORIGINAL.jpg",".jpg","images\Sketches\grins\DEADMAU5 Grin side ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DEADMAU5 Grin side ORIGINAL.jpg","False","884733","864.00 KB","5/8/2026 5:39:41 AM","Candidate for removal later if not needed by bridge"
"Bart Grin Chubby front B&W.png",".png","images\Sketches\grins\Bart Grin Chubby front B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Bart Grin Chubby front B&W.png","False","863056","842.83 KB","5/8/2026 5:39:06 AM","Candidate for removal later if not needed by bridge"
"Cocksnail COLOR.png",".png","images\Sketches\Snails\Cocksnail COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails\Cocksnail COLOR.png","False","823886","804.58 KB","5/9/2026 8:07:46 AM","Candidate for removal later if not needed by bridge"
"Pony Snail ORIGINAL.jpg",".jpg","images\Sketches\Snails\Pony Snail ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails\Pony Snail ORIGINAL.jpg","False","816679","797.54 KB","5/9/2026 8:07:50 AM","Candidate for removal later if not needed by bridge"
"Snailien King ORIGINAL.jpg",".jpg","images\Sketches\Snails\Snailien King ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails\Snailien King ORIGINAL.jpg","False","814629","795.54 KB","5/9/2026 8:07:51 AM","Candidate for removal later if not needed by bridge"
"Snailien King COLOR 3.png",".png","images\Sketches\Snails\Snailien King COLOR 3.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails\Snailien King COLOR 3.png","False","810548","791.55 KB","5/9/2026 8:07:51 AM","Candidate for removal later if not needed by bridge"
"Snailien King COLOR 1.png",".png","images\Sketches\Snails\Snailien King COLOR 1.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails\Snailien King COLOR 1.png","False","779545","761.27 KB","5/9/2026 8:07:51 AM","Candidate for removal later if not needed by bridge"
"Bobsnail COLOR.png",".png","images\Sketches\Snails\Bobsnail COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails\Bobsnail COLOR.png","False","775101","756.93 KB","5/9/2026 8:07:45 AM","Candidate for removal later if not needed by bridge"
"Santa Christ ORIGINAL.jpg",".jpg","images\Sketches\Mythical Beings\Santas\Santa Christ ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Mythical Beings\Santas\Santa Christ ORIGINAL.jpg","False","730478","713.36 KB","5/9/2026 12:17:01 PM","Candidate for removal later if not needed by bridge"
"Mothship ORIGINAL COLOR 3.jpg",".jpg","images\Sketches\Objects\transportation\Mothship ORIGINAL COLOR 3.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\transportation\Mothship ORIGINAL COLOR 3.jpg","False","721974","705.05 KB","5/9/2026 12:17:02 PM","Candidate for removal later if not needed by bridge"
"Fat Bart B&W.png",".png","images\Sketches\celebrity-characters\Simpsons\Fat Bart B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Simpsons\Fat Bart B&W.png","False","716663","699.87 KB","5/8/2026 11:02:29 AM","Candidate for removal later if not needed by bridge"
"Bart side 1 ORIGINAL.jpg",".jpg","images\Sketches\celebrity-characters\Simpsons\Bart side 1 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Simpsons\Bart side 1 ORIGINAL.jpg","False","706170","689.62 KB","5/8/2026 11:02:36 AM","Candidate for removal later if not needed by bridge"
"Potato Rabbbit in Delusionville ORIGINAL 2.jpg",".jpg","images\Sketches\Small Mammals\rabbbits\Potato Rabbbit in Delusionville ORIGINAL 2.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Small Mammals\rabbbits\Potato Rabbbit in Delusionville ORIGINAL 2.jpg","False","699774","683.37 KB","5/8/2026 4:35:24 PM","Candidate for removal later if not needed by bridge"
"simpsons HERO.jpg",".jpg","images\Sketches\celebrity-characters\simpsons HERO.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\simpsons HERO.jpg","False","692703","676.47 KB","5/8/2026 12:48:20 PM","Candidate for removal later if not needed by bridge"
"Stratus Simpson COLOR.jpg",".jpg","images\Sketches\celebrity-characters\Simpsons\Stratus Simpson COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Simpsons\Stratus Simpson COLOR.jpg","False","692703","676.47 KB","5/8/2026 12:48:20 PM","Candidate for removal later if not needed by bridge"
"Salt of the Girth ORIGINAL.jpg",".jpg","images\Sketches\celebrity-characters\Morton Salt Girl\Salt of the Girth ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters\Morton Salt Girl\Salt of the Girth ORIGINAL.jpg","False","689872","673.70 KB","5/8/2026 12:20:15 PM","Candidate for removal later if not needed by bridge"
"Shark Head 2 COLOR digital.png",".png","images\Sketches\aquatic-dwellers\sharks\Shark Head 2 COLOR digital.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\aquatic-dwellers\sharks\Shark Head 2 COLOR digital.png","False","684965","668.91 KB","5/9/2026 12:16:58 PM","Candidate for removal later if not needed by bridge"
"Shark Head 2 COLOR digital.png",".png","images\Sketches\sharks\Shark Head 2 COLOR digital.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\sharks\Shark Head 2 COLOR digital.png","False","684965","668.91 KB","5/9/2026 12:16:59 PM","Candidate for removal later if not needed by bridge"
"bear_bill.jpg",".jpg","images\Sketches\Objects\money-and-currency\bear_bill.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\money-and-currency\bear_bill.jpg","False","682042","666.06 KB","5/9/2026 11:41:32 AM","Candidate for removal later if not needed by bridge"
"COVID Grin card.jpg",".jpg","images\Sketches\grins\COVID Grin card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\COVID Grin card.jpg","False","680506","664.56 KB","5/7/2026 3:56:43 PM","Candidate for removal later if not needed by bridge"
"Bobsnail ORIGINAL.jpg",".jpg","images\Sketches\Snails\Bobsnail ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Snails\Bobsnail ORIGINAL.jpg","False","677909","662.02 KB","5/9/2026 8:07:48 AM","Candidate for removal later if not needed by bridge"
"Octopi HERO.png",".png","images\Sketches\aquatic-dwellers\Octopi HERO.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\aquatic-dwellers\Octopi HERO.png","False","668914","653.24 KB","5/6/2026 8:35:22 AM","Candidate for removal later if not needed by bridge"
"paisleypattern2.pdf_1.jpg",".jpg","images\Sketches\Objects\patterns-symbols-and-icons\paisleypattern2.pdf_1.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects\patterns-symbols-and-icons\paisleypattern2.pdf_1.jpg","False","667579","651.93 KB","5/9/2026 11:42:07 AM","Candidate for removal later if not needed by bridge"
