"FolderName","RelativePath","OriginalFullPath","FileCount","FolderCount","SizeBytes","SizeReadable","Action","Reason","BackupDestination"
"aliens","images\Sketches\aliens","D:\github\ron-english-sketches-and-drawings\images\Sketches\aliens","1000","0","199718317","190.47 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\aliens"
"aliens 2","images\Sketches\aliens 2","D:\github\ron-english-sketches-and-drawings\images\Sketches\aliens 2","470","0","105576548","100.69 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\aliens 2"
"amphibians","images\Sketches\amphibians","D:\github\ron-english-sketches-and-drawings\images\Sketches\amphibians","99","2","12850160","12.25 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\amphibians"
"animation","images\Sketches\animation","D:\github\ron-english-sketches-and-drawings\images\Sketches\animation","10","0","3578956","3.41 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\animation"
"aquatic-dwellers","images\Sketches\aquatic-dwellers","D:\github\ron-english-sketches-and-drawings\images\Sketches\aquatic-dwellers","214","7","46081079","43.95 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\aquatic-dwellers"
"avians","images\Sketches\avians","D:\github\ron-english-sketches-and-drawings\images\Sketches\avians","219","5","33474206","31.92 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\avians"
"bears","images\Sketches\bears","D:\github\ron-english-sketches-and-drawings\images\Sketches\bears","29","0","6149270","5.86 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\bears"
"bigfoot","images\Sketches\bigfoot","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot","81","0","17699167","16.88 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\bigfoot"
"brains","images\Sketches\brains","D:\github\ron-english-sketches-and-drawings\images\Sketches\brains","98","0","19590951","18.68 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\brains"
"Canines and felines","images\Sketches\Canines and felines","D:\github\ron-english-sketches-and-drawings\images\Sketches\Canines and felines","323","4","45940949","43.81 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Canines and felines"
"celebrity-characters","images\Sketches\celebrity-characters","D:\github\ron-english-sketches-and-drawings\images\Sketches\celebrity-characters","412","25","109690542","104.61 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\celebrity-characters"
"character balls","images\Sketches\character balls","D:\github\ron-english-sketches-and-drawings\images\Sketches\character balls","80","0","9017229","8.60 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\character balls"
"Combrats","images\Sketches\Combrats","D:\github\ron-english-sketches-and-drawings\images\Sketches\Combrats","55","0","9622890","9.18 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Combrats"
"flowers","images\Sketches\flowers","D:\github\ron-english-sketches-and-drawings\images\Sketches\flowers","64","0","10149688","9.68 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\flowers"
"grins","images\Sketches\grins","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins","1363","0","345723015","329.71 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\grins"
"Kaijus","images\Sketches\Kaijus","D:\github\ron-english-sketches-and-drawings\images\Sketches\Kaijus","304","0","53995359","51.49 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Kaijus"
"Kursed","images\Sketches\Kursed","D:\github\ron-english-sketches-and-drawings\images\Sketches\Kursed","120","0","27924051","26.63 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Kursed"
"Light Cult","images\Sketches\Light Cult","D:\github\ron-english-sketches-and-drawings\images\Sketches\Light Cult","269","0","32748089","31.23 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Light Cult"
"Monkeys","images\Sketches\Monkeys","D:\github\ron-english-sketches-and-drawings\images\Sketches\Monkeys","69","0","11432775","10.90 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Monkeys"
"Mythical Beings","images\Sketches\Mythical Beings","D:\github\ron-english-sketches-and-drawings\images\Sketches\Mythical Beings","383","7","65006458","61.99 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Mythical Beings"
"Objects","images\Sketches\Objects","D:\github\ron-english-sketches-and-drawings\images\Sketches\Objects","546","22","109383396","104.32 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Objects"
"Reptiles","images\Sketches\Reptiles","D:\github\ron-english-sketches-and-drawings\images\Sketches\Reptiles","146","6","26581756","25.35 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Reptiles"
"sharks","images\Sketches\sharks","D:\github\ron-english-sketches-and-drawings\images\Sketches\sharks","39","0","7023887","6.70 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\sharks"
"Skeletons","images\Sketches\Skeletons","D:\github\ron-english-sketches-and-drawings\images\Sketches\Skeletons","297","0","59012859","56.28 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Skeletons"
"Small Mammals","images\Sketches\Small Mammals","D:\github\ron-english-sketches-and-drawings\images\Sketches\Small Mammals","588","9","83113826","79.26 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Small Mammals"
"Tots","images\Sketches\Tots","D:\github\ron-english-sketches-and-drawings\images\Sketches\Tots","50","0","8978667","8.56 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Tots"
"TVities","images\Sketches\TVities","D:\github\ron-english-sketches-and-drawings\images\Sketches\TVities","14","0","2024277","1.93 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\TVities"
"Ungulates","images\Sketches\Ungulates","D:\github\ron-english-sketches-and-drawings\images\Sketches\Ungulates","492","7","75515722","72.02 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Ungulates"
"Yin Yangs","images\Sketches\Yin Yangs","D:\github\ron-english-sketches-and-drawings\images\Sketches\Yin Yangs","50","0","7169986","6.84 MB","Moved to backup","Immediate images\Sketches subfolder not referenced by bridge page; content now served by split repos.","D:\github-backups\ron-english-sketches-and-drawings\cleanup-old-sketches-heavy-images-phase1-20260511-155139\moved-from-working-tree\images\Sketches\Yin Yangs"
