"MatchedCategory","AnchorText","OldHref","NewHref"
"Yin Yangs","Yin Yangs","yin-yangs/index.html","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/yin-yangs/index.html"
"Ungulates","Ungulates","ungulates/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/ungulates/index.html"
"TVities","TVities","tvities/index.html","https://ronenglish-archive.github.io/ron-english-sketches-pop-culture/Sketches/tvities/index.html"
"Tots","Tots","tots/index.html","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/tots/index.html"
"Snails","Snails","snails/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/snails/index.html"
"Small Mammals","Small Mammals","small-mammals/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/small-mammals/index.html"
"Skeletons","Skeletons","skeletons/index.html","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/skeletons/index.html"
"Reptiles","Reptiles","reptiles/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/reptiles/index.html"
"Objects","Objects","objects/index.html","https://ronenglish-archive.github.io/ron-english-sketches-objects/Sketches/objects/index.html"
"Mythical Beings","Mythical Beings","mythical-beings/index.html","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/mythical-beings/index.html"
"Monkeys","Monkeys","monkeys/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/monkeys/index.html"
"Light Cult","Light Cult","light-cult/index.html","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/light-cult/index.html"
"Kursed","Kursed","kursed/index.html","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/kursed/index.html"
"Kaijus","Kaijus","kaijus/index.html","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/kaijus/index.html"
"Insects","Insects","insects/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/insects/index.html"
"Grins","Grins","grins/index.html","https://ronenglish-archive.github.io/ron-english-sketches-grins/Sketches/grins/index.html"
"Flowers","Flowers","flowers/index.html","https://ronenglish-archive.github.io/ron-english-sketches-objects/Sketches/flowers/index.html"
"Combrats","Combrats","combrats/index.html","https://ronenglish-archive.github.io/ron-english-sketches-pop-culture/Sketches/combrats/index.html"
"Character Balls","Character Balls","character-balls/index.html","https://ronenglish-archive.github.io/ron-english-sketches-pop-culture/Sketches/character-balls/index.html"
"Celebrity Characters","Celebrity Characters","celebrity-characters/index.html","https://ronenglish-archive.github.io/ron-english-sketches-pop-culture/Sketches/celebrity-characters/index.html"
"Canines and Felines","Canines & Felines","canines-and-felines/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/canines-and-felines/index.html"
"Brains","Brains","brains/index.html","https://ronenglish-archive.github.io/ron-english-sketches-mythic-dark/Sketches/brains/index.html"
"Bigfoot","Bigfoot","bigfoot/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/bigfoot/index.html"
"Bears","Bears","bears/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/bears/index.html"
"Avians","Avians","avians/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/avians/index.html"
"Aquatic Dwellers","Aquatic Dwellers","aquatic-dwellers/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/aquatic-dwellers/index.html"
"Amphibians","Amphibians","amphibians/index.html","https://ronenglish-archive.github.io/ron-english-sketches-animals/Sketches/amphibians/index.html"
"Aliens","Aliens","aliens/index.html","https://ronenglish-archive.github.io/ron-english-sketches-aliens/Sketches/aliens/index.html"
