"Title","Slug","Kind","HeroRank","FileName","FullPath","Skip"
"Potato Comic Pages 1","potato-comic-pages-1","Digital Version","1","Potato Comic Pages 1 COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 1 COLOR.jpg","True"
"Potato Comic Pages 1","potato-comic-pages-1","Original Drawing","50","Potato Comic Pages 1 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 1 ORIGINAL.jpg","True"
"Potato Comic Pages 2","potato-comic-pages-2","Digital Version","1","Potato Comic Pages 2 COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 2 COLOR.jpg","True"
"Potato Comic Pages 2","potato-comic-pages-2","Original Drawing","50","Potato Comic Pages 2 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 2 ORIGINAL.jpg","True"
"Potato Comic Pages 3","potato-comic-pages-3","Digital Version","1","Potato Comic Pages 3 COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 3 COLOR.jpg","True"
"Potato Comic Pages 3","potato-comic-pages-3","Original Drawing","50","Potato Comic Pages 3 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 3 ORIGINAL.jpg","True"
"Potato Comic Pages 4","potato-comic-pages-4","Digital Version","20","Potato Comic Pages 4 B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 4 B&W.jpg","True"
"Potato Comic Pages 4","potato-comic-pages-4","Digital Version","1","Potato Comic Pages 4 COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 4 COLOR.jpg","True"
"Potato Comic Pages 4","potato-comic-pages-4","Original Drawing","50","Potato Comic Pages 4 ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages 4 ORIGINAL.jpg","True"
"Potato Comic Pages Deer","potato-comic-pages-deer","Digital Version","20","Potato Comic Pages Deer B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages Deer B&W.jpg","True"
"Potato Comic Pages Deer","potato-comic-pages-deer","Digital Version","1","Potato Comic Pages Deer COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages Deer COLOR.jpg","True"
"Potato Comic Pages Deer","potato-comic-pages-deer","Original Drawing","50","Potato Comic Pages Deer ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Potato Comic Pages Deer ORIGINAL.jpg","True"
