"WorkNameDraft","CategoryGuess","SubcategoryGuess","FolderRelativeToSketchesImages","ImageCount","HeroFileName","HeroPublicURL","HeroGoogleSheetsImageFormula","OriginalImageFileNames","OriginalImageURLs","OtherViewFileNames","OtherViewURLs","DigitalImageFileNames","DigitalImageURLs","ColorImageFileNames","ColorImageURLs","MainOrUnclassifiedFileNames","MainOrUnclassifiedURLs","AllImageFileNames","AllImageURLs","GroupKey","NeedsReview"
"aliens hero","(root)","","","1","aliens-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/aliens-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/aliens-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/aliens-hero.jpg"",1))","","","","","","","","","aliens-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/aliens-hero.jpg","aliens-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/aliens-hero.jpg","|aliens hero","LOW - single image"
"amphibians hero","(root)","","","1","amphibians-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/amphibians-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/amphibians-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/amphibians-hero.jpg"",1))","","","","","","","","","amphibians-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/amphibians-hero.jpg","amphibians-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/amphibians-hero.jpg","|amphibians hero","LOW - single image"
"animation sketches hero","(root)","","","1","animation-sketches-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/animation-sketches-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/animation-sketches-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/animation-sketches-hero.jpg"",1))","","","","","","","","","animation-sketches-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/animation-sketches-hero.jpg","animation-sketches-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/animation-sketches-hero.jpg","|animation sketches hero","LOW - single image"
"aquatic dwellers hero","(root)","","","1","aquatic-dwellers-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/aquatic-dwellers-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/aquatic-dwellers-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/aquatic-dwellers-hero.jpg"",1))","","","","","","","","","aquatic-dwellers-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/aquatic-dwellers-hero.jpg","aquatic-dwellers-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/aquatic-dwellers-hero.jpg","|aquatic dwellers hero","LOW - single image"
"avians hero","(root)","","","1","avians-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/avians-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/avians-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/avians-hero.jpg"",1))","","","","","","","","","avians-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/avians-hero.jpg","avians-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/avians-hero.jpg","|avians hero","LOW - single image"
"bears hero","(root)","","","1","bears-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/bears-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/bears-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/bears-hero.jpg"",1))","","","","","","","","","bears-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/bears-hero.jpg","bears-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/bears-hero.jpg","|bears hero","LOW - single image"
"bigfoot hero","(root)","","","1","bigfoot-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/bigfoot-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/bigfoot-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/bigfoot-hero.jpg"",1))","","","","","","","","","bigfoot-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/bigfoot-hero.jpg","bigfoot-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/bigfoot-hero.jpg","|bigfoot hero","LOW - single image"
"birdy card 1","(root)","","","1","birdy card 1.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/birdy%20card%201.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/birdy%20card%201.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/birdy%20card%201.jpg"",1))","","","","","","","","","birdy card 1.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/birdy%20card%201.jpg","birdy card 1.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/birdy%20card%201.jpg","|birdy card 1","LOW - single image"
"birdy card 2","(root)","","","1","birdy card 2.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/birdy%20card%202.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/birdy%20card%202.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/birdy%20card%202.jpg"",1))","","","","","","","","","birdy card 2.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/birdy%20card%202.jpg","birdy card 2.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/birdy%20card%202.jpg","|birdy card 2","LOW - single image"
"body parts hero","(root)","","","1","body-parts-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/body-parts-hero.jpg","=IF(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/body-parts-hero.jpg""="""","""",IMAGE(""https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/body-parts-hero.jpg"",1))","","","","","","","","","body-parts-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/body-parts-hero.jpg","body-parts-hero.jpg","https://ronenglish-archive.github.io/ron-english-sketches-and-drawings/images/Sketches/body-parts-hero.jpg","|body parts hero","LOW - single image"
