"Status","SourceFile","OutputFile","SourceSizeKB","OutputSizeKB","Error"
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Aqua Apes Gang B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Aqua Apes Gang B&W.jpg","2595.3","176",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Aqua Apes Gang COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Aqua Apes Gang COLOR.jpg","3492.2","288",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Aqua Apes Gang ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Aqua Apes Gang ORIGINAL.jpg","1839.2","148.2",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Art Basil Guernica ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Art Basil Guernica ORIGINAL.jpg","1223","324.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Back of the Masses ORIGINAL COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Back of the Masses ORIGINAL COLOR.jpg","27184.1","449.8",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Banjo and Caption B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Banjo and Caption B&W.jpg","1596.6","207",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Banjo and Caption COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Banjo and Caption COLOR.jpg","2391.7","213.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Banjo and Caption ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Banjo and Caption ORIGINAL COLOR.jpg","1463.5","234",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Banjo and Caption ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Banjo and Caption ORIGINAL.jpg","525","212.1",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Basketball Bulls Guernica ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Basketball Bulls Guernica ORIGINAL.jpg","1143.7","246.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Believe Beau Lief Guernica sketch ORIGINAL.jpeg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Believe Beau Lief Guernica sketch ORIGINAL.jpg","2128.4","283.3",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Believe Beau Lief ORIGINAL COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Believe Beau Lief ORIGINAL COLOR.jpg","30996.2","475.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Boar Patrol B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Boar Patrol B&W.jpg","7915.8","254.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\The Gang\Boar Patrol COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Boar Patrol COLOR.jpg","34469.8","257.5",""
