"ProposedTitle","ProposedSlug","Kind","HasOriginalInName","HeroRank","FileName","SizeKB","FullPath"
"Aqua Apes Gang","aqua-apes-gang","Digital Version","False","20","Aqua Apes Gang B&W.jpg","176","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Aqua Apes Gang B&W.jpg"
"Aqua Apes Gang","aqua-apes-gang","Digital Version","False","1","Aqua Apes Gang COLOR.jpg","288","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Aqua Apes Gang COLOR.jpg"
"Aqua Apes Gang","aqua-apes-gang","Original Drawing","True","50","Aqua Apes Gang ORIGINAL.jpg","148.2","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Aqua Apes Gang ORIGINAL.jpg"
"Art Basil Guernica","art-basil-guernica","Original Drawing","True","50","Art Basil Guernica ORIGINAL.jpg","324.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Art Basil Guernica ORIGINAL.jpg"
"of The Masses","of-the-masses","Original Drawing","True","1","Back of the Masses ORIGINAL COLOR.jpg","449.8","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Back of the Masses ORIGINAL COLOR.jpg"
"Banjo and Caption","banjo-and-caption","Digital Version","False","20","Banjo and Caption B&W.jpg","207","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Banjo and Caption B&W.jpg"
"Banjo and Caption","banjo-and-caption","Digital Version","False","1","Banjo and Caption COLOR.jpg","213.6","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Banjo and Caption COLOR.jpg"
"Banjo and Caption","banjo-and-caption","Original Drawing","True","1","Banjo and Caption ORIGINAL COLOR.jpg","234","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Banjo and Caption ORIGINAL COLOR.jpg"
"Banjo and Caption","banjo-and-caption","Original Drawing","True","50","Banjo and Caption ORIGINAL.jpg","212.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Banjo and Caption ORIGINAL.jpg"
"Basketball Bulls Guernica","basketball-bulls-guernica","Original Drawing","True","50","Basketball Bulls Guernica ORIGINAL.jpg","246.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\character-groups-and-ensembles\Basketball Bulls Guernica ORIGINAL.jpg"
