"ProposedTitle","ProposedSlug","ImageCount","OriginalCount","DigitalCount","SuggestedHero","ReviewFlags","ImageFiles"
"Aqua Apes Gang","aqua-apes-gang","3","1","2","Aqua Apes Gang COLOR.jpg","","Aqua Apes Gang COLOR.jpg | Aqua Apes Gang B&W.jpg | Aqua Apes Gang ORIGINAL.jpg"
"Art Basil Guernica","art-basil-guernica","1","1","0","Art Basil Guernica ORIGINAL.jpg","Guernica-related","Art Basil Guernica ORIGINAL.jpg"
"Back of the Masses","back-of-the-masses","1","1","0","Back of the Masses ORIGINAL COLOR.jpg","","Back of the Masses ORIGINAL COLOR.jpg"
"Banjo and Caption","banjo-and-caption","4","2","2","Banjo and Caption COLOR.jpg","","Banjo and Caption COLOR.jpg | Banjo and Caption ORIGINAL COLOR.jpg | Banjo and Caption B&W.jpg | Banjo and Caption ORIGINAL.jpg"
"Basketball Bulls Guernica","basketball-bulls-guernica","1","1","0","Basketball Bulls Guernica ORIGINAL.jpg","Guernica-related","Basketball Bulls Guernica ORIGINAL.jpg"
"Believe Beau Lief","believe-beau-lief","1","1","0","Believe Beau Lief ORIGINAL COLOR.jpg","","Believe Beau Lief ORIGINAL COLOR.jpg"
"Believe Beau Lief Guernica","believe-beau-lief-guernica","1","1","0","Believe Beau Lief Guernica sketch ORIGINAL.jpg","Guernica-related","Believe Beau Lief Guernica sketch ORIGINAL.jpg"
"Boar Patrol","boar-patrol","3","1","2","Boar Patrol COLOR.jpg","","Boar Patrol COLOR.jpg | Boar Patrol B&W.jpg | Boar Patrol ORIGINAL.jpg"
"Bowling","bowling","1","1","0","Bowling ORIGINAL.jpg","","Bowling ORIGINAL.jpg"
"Brain Tree","brain-tree","3","1","2","Brain Tree COLOR.jpg","","Brain Tree COLOR.jpg | Brain Tree B&W.jpg | Brain Tree ORIGINAL.jpg"
"Bub Quack and Friends","bub-quack-and-friends","3","1","2","Bub Quack and Friends COLOR.jpg","","Bub Quack and Friends COLOR.jpg | Bub Quack and Friends ORIGINAL COLOR.jpg | Bub Quack and Friends B&W.jpg"
"Bull and Mousemask","bull-and-mousemask","4","2","2","Bull and Mousemask COLOR.jpg","","Bull and Mousemask COLOR.jpg | Bull and Mousemask B&W.jpg | Bull and Mousemask back ORIGINAL.jpg | Bull and Mousemask front ORIGINAL.jpg"
"Bunnnies","bunnnies","1","1","0","Bunnnies ORIGINAL.jpg","","Bunnnies ORIGINAL.jpg"
"Bunnny Mermaid and Paws","bunnny-mermaid-and-paws","3","1","2","Bunnny Mermaid and Paws COLOR.jpg","","Bunnny Mermaid and Paws COLOR.jpg | Bunnny Mermaid and Paws B&W.jpg | Bunnny Mermaid and Paws ORIGINAL.jpg"
"Burger Shot","burger-shot","1","1","0","Burger Shot ORIGINAL.jpg","","Burger Shot ORIGINAL.jpg"
"Burger Shot and Cowgirl","burger-shot-and-cowgirl","2","1","1","Burger Shot and Cowgirl B&W.jpg","","Burger Shot and Cowgirl B&W.jpg | Burger Shot and Cowgirl ORIGINAL.jpg"
"Captain and Jeremiah","captain-and-jeremiah","1","0","1","Captain and Jeremiah ink 14x17.jpg","Dimension clue in filename","Captain and Jeremiah ink 14x17.jpg"
"Carrot and Friends","carrot-and-friends","1","1","0","Carrot and Friends ORIGINAL.jpg","","Carrot and Friends ORIGINAL.jpg"
"Cathy Ronnnie Punk Skunk","cathy-ronnnie-punk-skunk","4","1","3","Cathy Ronnnie Punk Skunk COLOR.jpg","","Cathy Ronnnie Punk Skunk COLOR.jpg | Cathy Ronnnie Punk Skunk B&W (2).jpg | Cathy Ronnnie Punk Skunk B&W.jpg | Cathy Ronnnie Punk Skunk ORIGINAL.jpg"
"Centaur See No Evil","centaur-see-no-evil","1","1","0","Centaur See No Evil ORIGINAL.jpg","","Centaur See No Evil ORIGINAL.jpg"
"Cereal Killers Guernica 1","cereal-killers-guernica-1","1","1","0","Cereal Killers Guernica 1 ORIGINAL.jpg","Guernica-related","Cereal Killers Guernica 1 ORIGINAL.jpg"
"Cereal Killers Guernica 2","cereal-killers-guernica-2","1","1","0","Cereal Killers Guernica 2 ORIGINAL.jpg","Guernica-related","Cereal Killers Guernica 2 ORIGINAL.jpg"
"Combrat and Friends","combrat-and-friends","1","1","0","Combrat and Friends ORIGINAL.jpg","","Combrat and Friends ORIGINAL.jpg"
"Combrat Horse","combrat-horse","2","2","0","Combrat Horse ORIGINAL COLOR.jpg","","Combrat Horse ORIGINAL COLOR.jpg | Combrat Horse ORIGINAL.jpg"
"Couch Potato and Cellular","couch-potato-and-cellular","3","1","2","Couch Potato and Cellular COLOR.jpg","","Couch Potato and Cellular COLOR.jpg | Couch Potato and Cellular B&W.jpg | Couch Potato and Cellular ORIGINAL.jpg"
"Couch Potatoes","couch-potatoes","3","1","2","Couch Potatoes COLOR.jpg","","Couch Potatoes COLOR.jpg | Couch Potatoes B&W.jpg | Couch Potatoes ORIGINAL.jpg"
"Couch Surfing","couch-surfing","4","2","2","Couch Surfing COLOR.jpg","","Couch Surfing COLOR.jpg | Couch Surfing ORIGINAL COLOR.jpg | Couch Surfing B&W.jpg | Couch Surfing ORIGINAL.jpg"
"Creation of Slo Moe","creation-of-slo-moe","1","1","0","Creation of Slo Moe ORIGINAL.jpg","","Creation of Slo Moe ORIGINAL.jpg"
"Delusionville","delusionville","1","1","0","Delusionville ORIGINAL.jpg","","Delusionville ORIGINAL.jpg"
"Delusionville Last Supper","delusionville-last-supper","1","0","1","Delusionville Last Supper COLOR.jpg","","Delusionville Last Supper COLOR.jpg"
