"ProposedTitle","ProposedSlug","ImageCount","OriginalCount","DigitalCount","SuggestedHero","ReviewFlags","ImageFiles"
"Art Basil Guernica","art-basil-guernica","1","1","0","Art Basil Guernica ORIGINAL.jpg","Guernica-related","Art Basil Guernica ORIGINAL.jpg"
"Basketball Bulls Guernica","basketball-bulls-guernica","1","1","0","Basketball Bulls Guernica ORIGINAL.jpg","Guernica-related","Basketball Bulls Guernica ORIGINAL.jpg"
"Believe Beau Lief Guernica","believe-beau-lief-guernica","1","1","0","Believe Beau Lief Guernica sketch ORIGINAL.jpg","Guernica-related","Believe Beau Lief Guernica sketch ORIGINAL.jpg"
"Captain and Jeremiah","captain-and-jeremiah","1","0","1","Captain and Jeremiah ink 14x17.jpg","Dimension clue in filename","Captain and Jeremiah ink 14x17.jpg"
"Cereal Killers Guernica 1","cereal-killers-guernica-1","1","1","0","Cereal Killers Guernica 1 ORIGINAL.jpg","Guernica-related","Cereal Killers Guernica 1 ORIGINAL.jpg"
"Cereal Killers Guernica 2","cereal-killers-guernica-2","1","1","0","Cereal Killers Guernica 2 ORIGINAL.jpg","Guernica-related","Cereal Killers Guernica 2 ORIGINAL.jpg"
"Fat Guernica Woman and Baby","fat-guernica-woman-and-baby","1","1","0","Fat Guernica Woman and Baby ORIGINAL.jpg","Guernica-related","Fat Guernica Woman and Baby ORIGINAL.jpg"
"Flintstones Guernica 1","flintstones-guernica-1","1","1","0","Flintstones Guernica 1 ORIGINAL.jpg","Guernica-related","Flintstones Guernica 1 ORIGINAL.jpg"
"Flintstones Guernica 2","flintstones-guernica-2","1","1","0","Flintstones Guernica 2 ORIGINAL.jpg","Guernica-related","Flintstones Guernica 2 ORIGINAL.jpg"
"Guernica","guernica","1","1","0","Guernica Sketch ORIGINAL.jpg","Guernica-related","Guernica Sketch ORIGINAL.jpg"
"Guernica 1","guernica-1","2","1","1","Guernica side 1.jpg","Guernica-related","Guernica side 1.jpg | Guernica sketch 1 ORIGINAL.jpg"
"Guernica 2","guernica-2","2","1","1","Guernica side 2.jpg","Guernica-related","Guernica side 2.jpg | Guernica sketch 2 ORIGINAL.jpg"
"Guernica Characters","guernica-characters","1","1","0","Guernica Characters ORIGINAL.jpg","Guernica-related","Guernica Characters ORIGINAL.jpg"
"Guernica Characters New","guernica-characters-new","1","1","0","Guernica Characters New ORIGINAL.jpg","Guernica-related","Guernica Characters New ORIGINAL.jpg"
"Guernica NFT","guernica-nft","1","1","0","Guernica NFT sketch ORIGINAL.jpg","Guernica-related","Guernica NFT sketch ORIGINAL.jpg"
"Guernica NFT Forlorn Unicorn","guernica-nft-forlorn-unicorn","2","2","0","Guernica NFT Forlorn Unicorn back ORIGINAL.jpg","Guernica-related","Guernica NFT Forlorn Unicorn back ORIGINAL.jpg | Guernica NFT Forlorn Unicorn front ORIGINAL.jpg"
"Guernica Reversed","guernica-reversed","1","1","0","Guernica Reversed ORIGINAL.jpg","Guernica-related","Guernica Reversed ORIGINAL.jpg"
"Keep on Truckin","keep-on-truckin","1","0","1","Keep on Truckin 14x17.jpg","Dimension clue in filename","Keep on Truckin 14x17.jpg"
"Potato Comic Pages 1","potato-comic-pages-1","2","1","1","Potato Comic Pages 1 COLOR.jpg","Possible Comic Book Pages category","Potato Comic Pages 1 COLOR.jpg | Potato Comic Pages 1 ORIGINAL.jpg"
"Potato Comic Pages 2","potato-comic-pages-2","2","1","1","Potato Comic Pages 2 COLOR.jpg","Possible Comic Book Pages category","Potato Comic Pages 2 COLOR.jpg | Potato Comic Pages 2 ORIGINAL.jpg"
"Potato Comic Pages 3","potato-comic-pages-3","2","1","1","Potato Comic Pages 3 COLOR.jpg","Possible Comic Book Pages category","Potato Comic Pages 3 COLOR.jpg | Potato Comic Pages 3 ORIGINAL.jpg"
"Potato Comic Pages 4","potato-comic-pages-4","3","1","2","Potato Comic Pages 4 COLOR.jpg","Possible Comic Book Pages category","Potato Comic Pages 4 COLOR.jpg | Potato Comic Pages 4 B&W.jpg | Potato Comic Pages 4 ORIGINAL.jpg"
"Potato Comic Pages Deer","potato-comic-pages-deer","3","1","2","Potato Comic Pages Deer COLOR.jpg","Possible Comic Book Pages category","Potato Comic Pages Deer COLOR.jpg | Potato Comic Pages Deer B&W.jpg | Potato Comic Pages Deer ORIGINAL.jpg"
"Punk Skunk Guernica 1","punk-skunk-guernica-1","1","0","1","Punk Skunk Guernica sketch 1.jpg","Guernica-related","Punk Skunk Guernica sketch 1.jpg"
"Punk Skunk Guernica 2","punk-skunk-guernica-2","1","0","1","Punk Skunk Guernica sketch 2.jpg","Guernica-related","Punk Skunk Guernica sketch 2.jpg"
"Richmond Guernica 1","richmond-guernica-1","1","1","0","Richmond Guernica 1 ORIGINAL.jpg","Guernica-related","Richmond Guernica 1 ORIGINAL.jpg"
"Richmond Guernica 2","richmond-guernica-2","1","1","0","Richmond Guernica 2 ORIGINAL.jpg","Guernica-related","Richmond Guernica 2 ORIGINAL.jpg"
"Rock Star Guernica","rock-star-guernica","2","1","1","Rock Star Guernica B&W.jpg","Guernica-related","Rock Star Guernica B&W.jpg | Rock Star Guernica ORIGINAL.jpg"
"Saturday Morning Cartoon Guernica 1","saturday-morning-cartoon-guernica-1","1","1","0","Saturday Morning Cartoon Guernica sketch 1 ORIGINAL.jpg","Guernica-related","Saturday Morning Cartoon Guernica sketch 1 ORIGINAL.jpg"
"Saturday Morning Cartoon Guernica 2","saturday-morning-cartoon-guernica-2","1","1","0","Saturday Morning Cartoon Guernica sketch 2 ORIGINAL.jpg","Guernica-related","Saturday Morning Cartoon Guernica sketch 2 ORIGINAL.jpg"
"Selfie Guernica","selfie-guernica","1","0","1","Selfie Guernica B&W.jpg","Guernica-related","Selfie Guernica B&W.jpg"
"Selfie Guernica 1","selfie-guernica-1","1","1","0","Selfie Guernica 1 ORIGINAL.jpg","Guernica-related","Selfie Guernica 1 ORIGINAL.jpg"
"Selfie Guernica 2","selfie-guernica-2","1","1","0","Selfie Guernica 2 ORIGINAL.jpg","Guernica-related","Selfie Guernica 2 ORIGINAL.jpg"
"Selfie Guernica 3","selfie-guernica-3","1","1","0","Selfie Guernica 3 ORIGINAL.jpg","Guernica-related","Selfie Guernica 3 ORIGINAL.jpg"
"Selfie Guernica 4","selfie-guernica-4","1","1","0","Selfie Guernica 4 ORIGINAL.jpg","Guernica-related","Selfie Guernica 4 ORIGINAL.jpg"
"Selfie Guernica 5","selfie-guernica-5","1","1","0","Selfie Guernica 5 ORIGINAL.jpg","Guernica-related","Selfie Guernica 5 ORIGINAL.jpg"
"Skeleton Guernica","skeleton-guernica","1","1","0","Skeleton Guernica ORIGINAL.jpg","Guernica-related","Skeleton Guernica ORIGINAL.jpg"
"Square Guernica","square-guernica","1","0","1","Square Guernica B&W.jpg","Guernica-related","Square Guernica B&W.jpg"
"Trio","trio","1","0","1","Trio 14x17.jpg","Dimension clue in filename","Trio 14x17.jpg"
"X-ray Guernica","x-ray-guernica","1","1","0","X-Ray Guernica ORIGINAL.jpg","Guernica-related","X-Ray Guernica ORIGINAL.jpg"
