"Status","SourceFile","OutputFile","SourceSizeKB","OutputSizeKB","Error"
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Bigfoot Statue of Liberty B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Bigfoot Statue of Liberty B&W.jpg","4725.2","122.1",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Bigfoot Statue of Liberty COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Bigfoot Statue of Liberty COLOR.jpg","5624.9","113.3",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Bigfoot Statue of Liberty ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Bigfoot Statue of Liberty ORIGINAL.jpg","2868.1","189.3",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Eagle Liberty back ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Eagle Liberty back ORIGINAL.jpg","764.4","62.4",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Eagle Liberty left ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Eagle Liberty left ORIGINAL.jpg","719.6","56.1",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Fat Statue of Liberty B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Fat Statue of Liberty B&W.jpg","1686.7","104.7",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Fat Statue of Liberty COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Fat Statue of Liberty COLOR.jpg","2447.3","97.5",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Fat Statue of Liberty ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Fat Statue of Liberty ORIGINAL.jpg","501.7","113.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Eagle front B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Eagle front B&W.jpg","2869.8","314.6",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Eagle front COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Eagle front COLOR.jpg","1397.8","400.3",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty Eagle front ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Eagle front ORIGINAL.jpg","2127.7","198.5",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty eagle side B&W.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty eagle side B&W.jpg","2458.4","250.9",""
"Created","E:\Dropbox\3D figures, animation, and live trace files\Digitized characters and objects\Statues\Liberty eagle side COLOR.png","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty eagle side COLOR.jpg","3762","250.1",""
