"ProposedTitle","ProposedSlug","Kind","HasOriginalInName","HeroRank","FileName","SizeKB","FullPath"
"Bigfoot of Liberty","bigfoot-of-liberty","Digital Version","False","20","Bigfoot Statue of Liberty B&W.jpg","122.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Bigfoot Statue of Liberty B&W.jpg"
"Bigfoot of Liberty","bigfoot-of-liberty","Digital Version","False","1","Bigfoot Statue of Liberty COLOR.jpg","113.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Bigfoot Statue of Liberty COLOR.jpg"
"Bigfoot of Liberty","bigfoot-of-liberty","Original Drawing","True","50","Bigfoot Statue of Liberty ORIGINAL.jpg","189.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Bigfoot Statue of Liberty ORIGINAL.jpg"
"Eagle Liberty","eagle-liberty","Original Drawing","True","50","Eagle Liberty back ORIGINAL.jpg","62.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Eagle Liberty back ORIGINAL.jpg"
"Eagle Liberty","eagle-liberty","Original Drawing","True","50","Eagle Liberty left ORIGINAL.jpg","56.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Eagle Liberty left ORIGINAL.jpg"
"Fat of Liberty","fat-of-liberty","Digital Version","False","20","Fat Statue of Liberty B&W.jpg","104.7","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Fat Statue of Liberty B&W.jpg"
"Fat of Liberty","fat-of-liberty","Digital Version","False","1","Fat Statue of Liberty COLOR.jpg","97.5","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Fat Statue of Liberty COLOR.jpg"
"Fat of Liberty","fat-of-liberty","Original Drawing","True","50","Fat Statue of Liberty ORIGINAL.jpg","113.6","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Fat Statue of Liberty ORIGINAL.jpg"
"Liberty Eagle","liberty-eagle","Digital Version","False","20","Liberty Eagle front B&W.jpg","314.6","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Eagle front B&W.jpg"
"Liberty Eagle","liberty-eagle","Digital Version","False","1","Liberty Eagle front COLOR.jpg","400.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Eagle front COLOR.jpg"
"Liberty Eagle","liberty-eagle","Original Drawing","True","50","Liberty Eagle front ORIGINAL.jpg","198.5","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Eagle front ORIGINAL.jpg"
"Liberty Eagle","liberty-eagle","Digital Version","False","20","Liberty eagle side B&W.jpg","250.9","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty eagle side B&W.jpg"
"Liberty Eagle","liberty-eagle","Digital Version","False","1","Liberty eagle side COLOR.jpg","250.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty eagle side COLOR.jpg"
"Liberty Eagle","liberty-eagle","Original Drawing","True","50","Liberty eagle side ORIGINAL.jpg","297.8","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty eagle side ORIGINAL.jpg"
"Liberty Indian Eagle","liberty-indian-eagle","Digital Version","False","20","Liberty Indian Eagle Front B&W.jpg","197.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle Front B&W.jpg"
"Liberty Indian Eagle","liberty-indian-eagle","Digital Version","False","1","Liberty Indian Eagle Front COLOR.jpg","151.3","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle Front COLOR.jpg"
"Liberty Indian Eagle","liberty-indian-eagle","Original Drawing","True","1","Liberty Indian Eagle Front ORIGINAL COLOR.jpg","251.1","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle Front ORIGINAL COLOR.jpg"
"Liberty Indian Eagle","liberty-indian-eagle","Digital Version","False","20","Liberty Indian Eagle right side B&W.jpg","137","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle right side B&W.jpg"
"Liberty Indian Eagle","liberty-indian-eagle","Digital Version","False","1","Liberty Indian Eagle right side COLOR.jpg","147","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle right side COLOR.jpg"
"Liberty Indian Eagle","liberty-indian-eagle","Original Drawing","True","50","Liberty Indian Eagle right side ORIGINAL.jpg","50.5","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Indian Eagle right side ORIGINAL.jpg"
"Liberty Seeds","liberty-seeds","Digital Version","False","20","Liberty Seeds B&W.jpg","272.8","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Seeds B&W.jpg"
"Liberty Seeds","liberty-seeds","Digital Version","False","1","Liberty Seeds COLOR.jpg","282.4","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Seeds COLOR.jpg"
"Liberty Seeds","liberty-seeds","Original Drawing","True","50","Liberty Seeds ORIGINAL.jpg","240","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Liberty Seeds ORIGINAL.jpg"
"Family Icon","family-icon","Digital Version","False","1","Statues Family Icon COLOR.jpg","133.2","D:\github\ron-english-sketches-and-drawings\images\Sketches\statues\Statues Family Icon COLOR.jpg"
